"id","volume","year","month","day","page","ppdf","term","loc","org","type","author","method","notes1","notes2","patent","lon","lat","name","lastname","firstname","middlename","simpname","source"
3876,60,1895,12,21,588,613,"Cyanid","transvaal south africa",NA,"article","Emile M. Andreoli","ctrlf","Usage of cyanide",NA,NA,22.937506,-30.559482,"Emile M Andreoli","andreoli","emile","m","andreoli, e m",NA
4068,69,1900,5,12,558,587,"cyanid",NA,NA,"article","William E. Grainger","ctrlf","methods","electrolytic cyanide",NA,NA,NA,"William E Grainger","grainger","william","e","grainger, w e",NA
4542,86,1908,11,7,938,962,"cyanid",NA,NA,"news","Ernest J, Sweetland","ctrlf","methods","improved filter press",NA,NA,NA,"Ernest J, Sweetland","sweetland","ernest",NA,"sweetland, e","myb"
4739,88,1909,12,4,1150,1192,"cyanid",NA,NA,"news","Charles Christensen","ctrlf","in use",NA,NA,NA,NA,"Charles Christensen","christensen","charles",NA,"christensen, c","amm"
4137,71,1901,5,4,555,582,"cyanid",NA,NA,"article","C. G Warnford Lock","ctrlf","experiments","concentration, roasting and chlorination",NA,NA,NA,"C G Warnford Lock","lock","c","g","lock, c g",NA
4175,73,1902,1,4,39,72,"cyanid",NA,NA,"article","C. C Schnatterence","ctrlf","prices, experiments","Chemical market 1901",NA,NA,NA,"C C Schnatterence","schnatterence","c","c","schnatterence, c c",NA
4301,77,1904,3,10,395,434,"Cyanid",NA,NA,"article","William A. Heywood","ctrlf","Experiments","Cyanide copper method",NA,NA,NA,"William A Heywood","heywood","william","a","heywood, w a",NA
4370,78,1904,12,22,977,984,"Cyanid",NA,NA,"article","A. Prister","ctrlf","Methods; experiments","""The White Precipitate""; chemistry",NA,NA,NA,"A Prister","prister","a",NA,"prister, a",NA
4370,78,1904,12,22,977,984,"Cyanid",NA,NA,"article","B. Bay","ctrlf","Methods; experiments","""The White Precipitate""; chemistry",NA,NA,NA,"B Bay","bay","b",NA,"bay, b",NA
4760,89,1910,1,8,150,180,"cyanid",NA,NA,"news","M. W von Bernewitz","ctrlf","methods, experiments","graphite",NA,NA,NA,"M W von Bernewitz","bernewitz","m","w","bernewitz, m w",NA
4896,90,1910,7,2,51,79,"cyanid",NA,NA,"news","Howard E. Palmer","ctrlf","experiments","potassium ferrocyanide in alkaline solution",NA,NA,NA,"Howard E Palmer","palmer","howard","e","palmer, h e",NA
4922,90,1910,8,20,351,379,"cyanid",NA,NA,"article","E. Noble Greenlead","ctrlf","methods","framining timbers before shipment",NA,NA,NA,"E Noble Greenlead","greenlead","e","noble","greenlead, e n",NA
3864,60,1895,8,10,124,149,"Cyanid",NA,NA,"article","Dr. Franois Wyatt","ctrlf","Production of cyanide",NA,NA,NA,NA,"Dr Franois Wyatt","wyatt","dr","franois","wyatt, d f",NA
3896,62,1896,9,26,293,300,"Cyanide",NA,NA,"article","H. Van. F. Furman","ctrlf","Using the cyanide process",NA,NA,NA,NA,"H Van F Furman","furman","h","van","furman, h v","colorado"
4107,70,1900,12,8,666,695,"cyanid",NA,NA,"article","Charles A. Peters","ctrlf","methods","potassium ferrocyanide",NA,NA,NA,"Charles A Peters","peters","charles","a","peters, c a",NA
4111,70,1900,12,22,732,761,"cyanid",NA,NA,"article","Henry. M Crowther","ctrlf","methods, prices",NA,NA,NA,NA,"Henry M Crowther","crowther","henry","m","crowther, h m",NA
4116,71,1901,1,19,82,117,"cyanid",NA,NA,"article","Charles S. Hurter","ctrlf","experiments","agitation process for cyaniding slimes",NA,NA,NA,"Charles S Hurter","hurter","charles","s","hurter, c s","MIT"
4224,74,1902,8,23,241,272,"cyanid",NA,NA,"article","Joseph Hyde Pratt","ctrlf","methods","feasibilities of using cyanide at the Appalachians",NA,NA,NA,"Joseph Hyde Pratt","pratt","joseph","hyde","pratt, j h","taime"
4298,77,1904,3,3,357,396,"Cyanid",NA,NA,"article","Charles E. Reuger","ctrlf","Methods; experiments","Chemistry notation; cyanide copper method",NA,NA,NA,"Charles E Reuger","reuger","charles","e","reuger, c e",NA
4336,77,1904,7,7,5,12,"Cyanid",NA,"Encampment, Wyoming","letter","Andrew M. Fairlie","ctrlf","Methods; experiments; *use for nickel, not gold*","Assaying nickel solution",NA,NA,NA,"Andrew M Fairlie","fairlie","andrew","m","fairlie, a m","MIT"
4366,78,1904,12,8,908,915,"Cyanid",NA,NA,"article","Charles S. Palmer","ctrlf","Experiments","Copper",NA,NA,NA,"Charles S Palmer","palmer","charles","s","palmer, c s","colorado"
4445,85,1908,6,6,1178,1211,"cyanid",NA,NA,"news","Wilhur A. Hendryx","ctrlf","methods","cyanidation of ores",NA,NA,NA,"Wilhur A Hendryx","hendryx","wilhur","a","hendryx, w a",NA
4454,86,1908,7,4,60,84,"cyanid",NA,NA,"news","Horace G. Nichols","ctrlf","methods","separation of slime in cyanide treatment",NA,NA,NA,"Horace G Nichols","nichols","horace","g","nichols, h g","rsm"
4467,86,1908,8,1,227,251,"cyanid",NA,NA,"article","Alfred Gradenwitz","ctrlf","methods","a novel washing and leaching apparatus",NA,NA,NA,"Alfred Gradenwitz","gradenwitz","alfred",NA,"gradenwitz, a",NA
4549,86,1908,11,21,989,1013,"cyanid","Hacienda de la Union",NA,"article","Francisco Narvaez","ctrlf","methods","metallurgical process; very long article",NA,NA,NA,"Francisco Narvaez","narvaez","francisco",NA,"narvaez, f","amm"
4779,89,1910,2,5,347,377,"cyanid",NA,NA,"news","Thomas B. Stevens","ctrlf","methods, experiments","esitmation of the capacity of Vacuum filter plants",NA,NA,NA,"Thomas B Stevens","stevens","thomas","b","stevens, t b","amm"
4806,89,1910,3,12,560,590,"cyanid",NA,NA,"article","Bede Collingridge","ctrlf","experiments","erros in testing cyanide solutions",NA,NA,NA,"Bede Collingridge","collingridge","bede",NA,"collingridge, b",NA
3933,66,1898,9,24,370,477,"cyanid",NA,NA,"article","Ernest. R Woakes","ctrlf","experiments",NA,NA,NA,NA,"Ernest R Woakes","woakes","ernest","r","woakes, e r",NA
4144,71,1901,6,22,782,797,"cyanid",NA,NA,"article","William Whitwell","ctrlf","experiments","in regards to manufacturing steel and gold",NA,NA,NA,"William Whitwell","whitwell","william",NA,"whitwell, w",NA
4145,71,1901,6,22,809,824,"cyanid",NA,NA,"article","Sydney B. Wright","ctrlf","experiments","long article about chemistry in leaching of the ores",NA,NA,NA,"Sydney B Wright","wright","sydney","b","wright, s b","amm"
4419,85,1908,4,18,812,845,"cyanid",NA,NA,"article","Evans W. Buskett","ctrlf","methods","sampling and assaying spelter",NA,NA,NA,"Evans W Buskett","buskett","evans","w","buskett, e w","missouri"
4540,86,1908,11,7,938,962,"cyanid",NA,NA,"news","Leonard M. Green","ctrlf","methods, experiments","estimation of sulpho and ferroycyanides",NA,NA,NA,"Leonard M Green","green","leonard","m","green, l m","rsm"
4614,87,1909,4,3,695,741,"cyanid",NA,NA,"article","Walter M. Brodie","ctrlf","methods, experiments","cyanide lixiviation by agitation",NA,NA,NA,"Walter M Brodie","brodie","walter","m","brodie, w m",NA
