"","loc","lon","lat"
"144","marlborough villa mill housi s sheffield",-71.5522874,42.3459271
"148","on the geography of india he died on january rd",NA,NA
"151","sw and axrs club lonoou w",NA,NA
"152","chemistry",-95.2548705,38.9553776
"153","blyt i h g assoc rsm",NA,NA
"156","at port pirie",138.0088567,-33.1708294
"158","hereford",-2.715974,52.056398
"159","liverpool college upper school loose lane liverpool",-2.9222504,53.3827607
"160","a f nseury square lonoon ec",-0.1277583,51.5073509
"161","died",NA,NA
"163","or science london sw",-0.1277583,51.5073509
"164","pharmaceutical chemist",-95.2621999,38.9471443
"166","goli",-95.3838943,29.8527308
"167","terrace dennistoun glascow nb",-4.2154146,55.8634543
"170","late manager in allsopp s brewery died in germany",NA,NA
"173","mas n colieoe birmxngham",-1.9259047,52.4594373
"174","geology assoc rsm",NA,NA
"175","pr esidency coileoe madras",80.2817948,13.0588109
"176","sometime chemist to government jamaica",NA,NA
"177","physician late indian service",NA,NA
"178","c zernlstry",NA,NA
"179","th aged sixty four",NA,NA
"181","the laboratory citadei hill plymouth permanent address",-70.6672621,41.9584457
"182","ii carden place aberdeen",-2.1158837,57.1458487
"183","and smelting co ltd estado de mexico mexico",-99.6424592,19.2924468
"184","fiume huncary",14.442176,45.3270631
"185","executive engineer pwd india",77.2351905,28.579636
"186","coal wynd bannockburn stirlingshire",-3.9167787,56.0892625
"187","beech ronn reigate h ll surrey",-0.2068034,51.2482927
"188","indian telegraph service superintendent ist grade rajputana",74.2179326,27.0238036
"189","po box klerksdorp sar",26.6317514,-26.8598225
"190","manure manufacturer plymouth",NA,NA
"191","college or surgeons lincoin s inn fieins london wc",-0.1156012,51.5155335
"192","clifton unci on near manchester",-2.3453529,53.529922
"194","po box io annesburc sar",NA,NA
"195","c o s butcher and sons durban natal",31.0218404,-29.8586804
"196","c o c wilberth esq pirie street adela de sourii ausrral a",138.604324,-34.925435
"197","cemetery road sheffield",-1.4834475,53.3699285
"198","roya colleoe or sc ence london sw permanent address",-0.1453701,51.525795
"199","i cemetery road sheffield",-1.4834475,53.3699285
"204","keynsham somerset",-2.502526,51.415059
"205","addendum",-122.3583705,38.3992253
"206","nqrmaney house sour",0.1712529,48.8798704
"207","cabenar h mechantks assoc rcs",NA,NA
"208","cawdor grove park cameerwell london",-0.272505,51.481631
"209","edward forbes medal",NA,NA
"212","struan v llas pqrtland road",-122.6750261,45.5051064
"213","marnock",NA,NA
"215","sheen park richmond surrey",-0.2945674,51.4633797
"216","researches on graphitic acid",NA,NA
"217","baker street nottingham",-1.1555386,52.9637928
"218","portman terrace taunton",-3.1038347,51.0266685
"221","observatory cottage upper hellesden norwich",1.2561246,52.658728
"222","passaic street newark nj usa",-74.1661784,40.755739
"223","correi era jerez de ia frontera spain",-6.1260744,36.6850064
"224","po box joi iannesburo sar",NA,NA
