source,type,year,number,text,lastname,firstname,simpname,nationality,edu,prof,org,ydeg,loc,country,lat,lon
frei,alumni,1867,2516,"Gabler, Eduard Robert. Valparaiso, Chile.",Gabler,Eduard Robert,"Gabler, E  R",chile,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2517,"Gayou, Angela Ricardo Ortiz. Guaymas, Mexico.",Gayou,Angela Ricardo Ortiz,"Gayou, A  R",mexico,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2518,"Gayou, Louis. Guaymas, Mexico.",Gayou,Louis,"Gayou, L",mexico,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2519,"Getz, Anton. Drontheim, Norwegen.",Getz,Anton,"Getz, A",norway,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2520,"Dr. phi!. Goldmann, Albert. Kirchheimbolanden, Bayern.",Goldmann,Albert,"Goldmann, A",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2521,"Hau6e, August Robert. Freiberg, Sachsen.",Hau6e,August Robert,"Hau6e, A  R",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2522,"Hering, Curt Heinrich. Freiberg, Sachsen.",Hering,Curt Heinrich,"Hering, C  H",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2523,"Hornemann, HenrikThomas. Drontheim, Norweg.",Hornemann,HenrikThomas,"Hornemann, H",norway,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2524,"Hutchings, William Maynard. Manchester, Engl.",Hutchings,William Maynard,"Hutchings, W  M",united kingdom,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2525,"Jonker, Hendrik Jan Willem . Gravenhage, Holl.",Jonker,Hendrik Jan Willem,"Jonker, H  J",netherlands,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2526,"v. Kiel, Daniel. Riga, RuBland.",V Kiel,Daniel,"V Kiel, D",latvia,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2527,"Dr. phil. Koenig, Georg August. Willstadt, Baden.",Koenig,Georg August,"Koenig, G  A",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2528,"Kraushaar, Carl Hartmann Ernst. Niedereula, PreuBen.",Kraushaar,Carl Hartmann Ernst,"Kraushaar, C  H",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
