loc,lon,lat
bishopsgate street within chartered accountant,-0.0806646,51.517107
bishopsgate street within e c,-0.0810585,51.5167977
bishopsgate street within ex,-0.0810585,51.5167977
bishopsgate street within london,-0.0810585,51.5167977
bishopsgate street within no,-0.0810585,51.5167977
bishopsgate street within secretary to,-0.0810585,51.5167977
bishopsgate street within wlll wh,-0.0810585,51.5167977
bishopsgate street withln ac,-0.0810585,51.5167977
bishopsgate street without b,-0.0810585,51.5167977
bishopsgate street without london,-0.0813889,51.5166667
bishopsimte street without eli,-0.0810585,51.5167977
bishopsirate street without k,-0.0810585,51.5167977
bisliupsgste street within e,-0.0810585,51.5167977
bitumen,-95.4826267,29.7415308
biveradalc terrace sunderland,-1.3981805,54.8981795
blaaubank,27.8166667,-25.5
blaby road index,-1.1285091,52.5805211
black lane colliery brymbo limited,-3.057591,53.075576
blackfriars road manufacturer,-0.1041179,51.5065297
blackheath road clerk,-0.018779,51.4733575
blake street york,-1.0846027,53.9607895
blandford road chiswick w,-0.2546821,51.4998142
bldon street b,-1.3477273,51.8334313
bldon street k,-88.1001274,42.0525091
blessington road lee s,-0.0023029,51.4612219
blflfld street house,-2.5957358,53.3880156
bloinllelll street ec,-0.1207056,51.5446289
blolnlleld street el,-2.9832617,53.3971709
blomficld street e c,-0.0851738,51.517155
blomfield street b,-0.0851738,51.517155
blomlleld street e,-0.0851738,51.517155
blomtield street dalston accountant,-0.0745577,51.5469434
bloomfield,-74.1854209,40.8067546
bloomsbury street w,-0.1277289,51.5179545
blornfield street ec,-0.0851738,51.517155
bmith street b,-95.8577127,36.2934383
bnad street hi use,-0.1430403,51.5115739
bntlund square edinburgh,-3.204867,55.9401263
bodmin road station and a,-4.662967,50.44585
boiling,-97.5170532,35.5500799
boksburg,28.2409671,-26.2325897
bolivar,-93.4104749,37.6144838
bolivia,-63.588653,-16.290154
bombay,72.8776559,19.0759837
bond street in the mining,-0.087847,51.5267887
bond street leeds is a,-1.5466767,53.7977557
bond street vauxhall merchant shares,-73.9941216,40.7266358
bond street w,0.0041188,51.5503162
boston,-71.0588801,42.3600825
both sides of the,-122.4979747,45.5324821
bothwell street giukkow,-4.2615926,55.8612993
bothwell street glasgo w,-4.2615926,55.8612993
boulder,-105.2705456,40.0149856
boundary lane walworth,-0.0932778,51.4831145
boundary road st,-95.712891,37.09024
bourne,-70.5989325,41.7412773
bouverie road west folkestone is,1.1654527,51.0778216
bouverie street b,-0.10796,51.513359
bowyer lane walton lodge usk,-2.9032932,51.7027342
braddock,-74.8233229,39.898212
bradford,-1.759398,53.795984
bramwell,-81.3117673,37.3251163
brand street place e,-96.621101,32.970131
brand street place k,-117.3530939,33.6332417
brazennose street monchestcr,-2.2467613,53.4797559
brazil,-51.92528,-14.235004
breckenridge,-106.0383518,39.4816537
