"","id","role","name","lastname","middlename","firstname","simpname","year","yearg","company","capital","text","office","situated","mine","loc","lon","lat"
"2558",492712,"Manager","alred hodgkiss","hodgkiss",NA,"alred","hodgkiss, a",1911,NA,"Geo Blackwellt Sons And Limited",NA,"Mines Manager Alfred Hodgkiss, M.E., Hawthornden, Baxlow, Derbyshire.",NA,NA,NA,"liverpool",-76.2177046,43.106456
"2559",492713,"Engineer-","f j stephens","stephens","j","f","stephens, f j",1911,NA,"Geo Blackwellt Sons And Limited",NA,"Consulting Engineer- F. J. Stephens, F.G.S.. A.I.M.tf.",NA,NA,NA,"liverpool",-76.2177046,43.106456
"2560",492865,"Managers","h j heath","heath","j","h","heath, h j",1911,NA,"Glyncorrwg Colliery Company Limited",NA,"Managers H. J. Heath. I Gntral ; T. F. Thomas, Colliery.",NA,NA,NA,"london",-0.1277583,51.5073509
"2561",492905,"Manager","frank k milton","milton","k","frank","milton, f k",1911,NA,"Glynrhonwy Slate Quarry Company Limited",NA,"General Manager Frank K. 8. Milton, Glyn Pudarn, Llanberis, North Wales. Secretary and Offices F. Beddow, 41, Finbbury Pavement, E. C.",NA,NA,NA,"wales",-3.7837117,52.1306607
"2562",492953,"Engineers","john taylor is sons","sons","taylor","john","sons, j t",1911,NA,"Gold Fields Mysore And General",NA,"Consulting Engineers and Managers John Taylor is Sons, 6, Qneen Street Place, E.C.","qneen street place london",NA,NA,"london",-0.1277583,51.5073509
"2563",493038,"Engineers","percy tarbutt","tarbutt",NA,"percy","tarbutt, p",1911,NA,"Gold Reefs Booysen Development Company",NA,"Consulting Engineers Percy Tarbutt & Co., 18, St. Swithins Lane, E.C.","swithins lane london",NA,NA,"london",-0.1277583,51.5073509
"2564",493324,"Manager","a bodgkiss","bodgkiss",NA,"a","bodgkiss, a",1911,NA,"Grove Syndicate Limited",NA,"Mine Manager A. Bodgkiss. | Bankers London Oity and Midland Bank, Ltd. Secretary and Offices W. R. Jones, The Albany, Old Hall Street, Liverpool.","hall street liverpool",NA,NA,"london",-0.1277583,51.5073509
"2565",493512,"Manager","r l sails","sails","l","r","sails, r l",1911,NA,"Gwaun Cae Gurwen Colliery Limited",NA,"Oeneral Manager R. L. Sails. | Local Offices Gloucester Chambers, Swansea. Secretary and Offices Frederick Jackson, F.O.I.8., Masonic Bdgs., High St., Rotherham.",NA,NA,NA,"gloucester",-70.6619888,42.6159285
"2566",493674,"Manager","l holland","holland",NA,"l","holland, l",1911,NA,"Hamstead Colliery Company Limited",NA,"General Manager L. Holland, Great Barr, near BirtLingham.",NA,NA,NA,"carter",-95.6164438,37.0328377
"2567",493777,"Engineer","leslie hill","hill",NA,"leslie","hill, l",1911,NA,"Hastings British Columbia Exploration Syndicate",NA,"Consulting Engineer and Local Manager Leslie Hill, M.E., Nelson, B.C.",NA,NA,NA,"london",-0.1277583,51.5073509
"2568",494092,"Manager","j j prest","prest","j","j","prest, j j",1911,NA,"Horden Collieries Limited Hokden Collieries",NA,"Manager J. J. Prest, Castle Eden, Co. Durham.",NA,NA,NA,"durham",-78.898619,35.9940329
"2569",494510,"Manager","and secretary oices p","oice","secretary","and","oice, a s",1911,NA,"Ilkeston Colliery Company Limited",NA,"General Manager and Secretary and Offices P. M. Chester, Derby Road, Ilkeston,","derby road ilkeston",NA,NA,"derby road ilkeston",-1.316995,52.9669493
"2570",494707,"Engineers","institute o mechanical","mechanical","o","institute","mechanical, i o",1911,NA,"Institution Mining And Metallurgy",NA,"Institute of Mining and Mechanical Engineers ; The North Staffordshire Institute",NA,NA,NA,"staffordshire",-2.0571868,52.8792745
