"","id","year","company","capital","minerals","owns","owned","doutput","technology","incor","loc","text","lastname","firstname","middlename","prof"
"169","mmm905",1926,"amparo mining co.",NA,NA,"See also: nueva cia. Min. la mazata y an., s. a. cia. Minera la piedra bola, s. a.",NA,NA,NA,NA,"jalisco","See also: nueva cia. Min. la mazata y an., s. a. cia. Minera la piedra bola, s. a.",NA,NA,NA,NA
"170","mmm905",1926,"amparo mining co.",NA,NA,"See also: nueva cia. Min. la mazata y an., s. a. cia. Minera la piedra bola, s. a.",NA,NA,NA,NA,"jalisco","See also: nueva cia. Min. la mazata y an., s. a. cia. Minera la piedra bola, s. a.",NA,NA,NA,NA
"171","mmm907",1926,"cinco minas co.",NA,NA,NA,NA,NA,NA,NA,"cinco minas jal","location, cinco minas, jal., ",NA,NA,NA,NA
"172","mmm936",1926,"cia. Minera de jalisco s. a.",NA,NA,NA,NA,NA,NA,NA,"office capuchinas room","mexico city office, capuchinas 69 room 414, ",NA,NA,NA,NA
"173","mmm954",1926,"cia. minera de zacatongo s. a.",NA,"silver gold.",NA,NA,NA,NA,NA,"jalisco","silver gold.",NA,NA,NA,NA
"174","mmm959",1926,"cia. minera de zacatongo s. a.",NA,NA,NA,NA,NA,NA,NA,"mascota jal","mech. eng., j. w. mcalister, mascota, jal.","mayo","james",NA,"mech. eng."
"175","mmm961",1926,"cia. minera del aguila s. a.",NA,NA,NA,NA,NA,NA,NA,"cinco minas jal","location, cinco minas, jal., ",NA,NA,NA,NA
"176","mmm961",1926,"cia. minera del aguila s. a.",NA,NA,NA,NA,NA,NA,NA,"cinco minas jal","location, cinco minas, jal., ",NA,NA,NA,NA
"177","mmm970",1926,"cia. Minera la loteria",NA,NA,NA,NA,NA,NA,NA,"huachinango jal","location, huachinango,, jal., ",NA,NA,NA,NA
"178","mmm972",1926,"cia. Min. la piedra bola s. a.",NA,NA,NA,NA,NA,NA,"organized, on october 15th 1921 in mexico, d. f., ","jalisco","organized, on october 15th 1921 in mexico, d. f., ",NA,NA,NA,NA
"179","mmm973",1926,"cia. Min. la piedra bola s. a.",NA,NA,NA,NA,NA,NA,NA,"jalisco","$1. 000,000 oro nac.",NA,NA,NA,NA
"180","mmm978",1926,"cia. Min. la piedra bola s. a.",NA,NA,NA,NA,NA,NA,NA,"mexico df","president, alfred main, mexico, d. f.","mahony","alfred",NA,"president"
"181","mmm992",1926,"el favor mining co.",NA,NA,NA,NA,NA,NA,NA,"la quemada jal","cons. eng., a. a. hohander, la quemada, jal.","hogg","a",NA,"cons. eng."
"182","mmm997",1926,"espada mines co.",NA,"silver gold.",NA,NA,NA,NA,NA,"jalisco","silver gold.",NA,NA,NA,NA
"183","mmm997",1926,"espada mines co.",NA,"silver gold.",NA,NA,NA,NA,NA,"jalisco","silver gold.",NA,NA,NA,NA
"184","mmm1001",1926,"espada mines co.",NA,NA,NA,NA,NA,NA,NA,"la quemada jal","master mech., ernest bandisch, la quemada, jal.","bandies","ernest",NA,"master mech."
"185","mmm1017",1926,"negociacion minera de san rafael y anexas s. a.",NA,NA,NA,NA,NA,NA,NA,"magdalena jal","mine spt., p. l. stockdale, magdalena, jal.","stockbridge","percy",NA,"mine spt."
"186","mmm1027",1926,"nueva cia. mjn. la mazata y an. s. a.",NA,NA,NA,NA,NA,NA,NA,"etzatlan jal","asst. mine spt, f. g. willson, etzatlan, jal.","willson","f",NA,"asst. mine spt"
"187","mmm1047",1926,"compañia esperanza s. a.",NA,NA,NA,NA,NA,NA,NA,"pachuca hgo","cons. eng., c.a. lantz, pachuca, hgo.","lanigan","c",NA,"cons. eng."
"188","mmm1051",1926,"cia. minera la quimica y anexas s. a.",NA,NA,NA,NA,NA,NA,NA,"mexico","$500,000 oro nac.",NA,NA,NA,NA
"189","mmm1055",1926,"cia. minera la quimica y anexas s. a.",NA,NA,NA,NA,NA,NA,NA,"name guadalupe","mill name, guadalupe., ",NA,NA,NA,NA
"190","mmm1071",1926,"cia. min. san miguel y an. s. a.",NA,NA,NA,NA,NA,NA,NA,"tenango mex","location & p. o., tenango, mex., ",NA,NA,NA,NA
"191","mmm1074",1926,"cia. min. san miguel y an. s. a.",NA,NA,NA,NA,NA,NA,NA,"mexico df","president, h. j. carrasco, mexico, d. f.","carrasco","h",NA,"president"
"192","mmm1079",1926,"el oro mining railway co. ltd.",NA,NA,NA,NA,NA,NA,NA,"mexico","l. 1.150,000.",NA,NA,NA,NA
"193","mmm1080",1926,"el oro mining railway co. ltd.",NA,NA,NA,NA,NA,NA,NA,"london e c","foreign office, 24 lombard st. london, e. c., ",NA,NA,NA,NA
"194","mmm1082",1926,"el oro mining railway co. ltd.",NA,NA,NA,NA,NA,NA,NA,"office avenida juarez","mexico city office, avenida juarez 83 ., ",NA,NA,NA,NA
"195","mmm1085",1926,"el oro mining railway co. ltd.",NA,NA,NA,NA,NA,"table concentration & cyanidation.",NA,"mexico","table concentration & cyanidation., ",NA,NA,NA,NA
"196","mmm1090",1926,"el oro mining railway co. ltd.",NA,NA,NA,NA,NA,NA,NA,"df","business mgr., e. r. atchison, d. f., ","atchison","e",NA,"business mgr."
"197","mmm1091",1926,"el oro mining railway co. ltd.",NA,NA,NA,NA,NA,NA,NA,"el oro mex","asst. grl. mgr., herbert c. enos, el oro, mex.","english","herbert","conultini","asst. grl. mgr."
"198","mmm1097",1926,"el toro mining co. s. a.",NA,NA,NA,NA,NA,NA,NA,"zacualpan mex","location & p. o., zacualpan, mex., ",NA,NA,NA,NA
"199","mmm1104",1926,"negociacion minera el alacran y anexas s. a.",NA,NA,NA,NA,NA,NA,NA,"mexico","$120,000 oro nac",NA,NA,NA,NA
"200","mmm1107",1926,"negociacion minera el alacran y anexas s. a.",NA,NA,"this company owns several mines in the district of sultepec, mex.",NA,NA,NA,NA,"mexico","this company owns several mines in the district of sultepec, mex.",NA,NA,NA,NA
"201","mmm1108",1926,"negociacion minera el alacran y anexas s. a.",NA,NA,NA,NA,NA,NA,NA,"mexico df","president, agustin legorreta, mexico, d. f.","leeso","agustin",NA,"president"
"202","mmm1116",1926,"negociacion minera san juan bautista y anexas",NA,"silver gold.",NA,NA,NA,NA,NA,"mexico","silver gold.",NA,NA,NA,NA
"203","mmm1117",1926,"negociacion minera san juan bautista y anexas",NA,NA,NA,NA,NA,NA,NA,"sultepec mexico","mill location, sultepec, mexico, ",NA,NA,NA,NA
"204","mmm1137",1926,"the mexican mines of el oro, ltd.",NA,NA,NA,NA,NA,NA,NA,"el oro mex","purch. agt., m. d. steta, el oro, mex.","sterne","m",NA,"purch. agt."
"205","mmm1142",1926,"the mexican mines of el oro, ltd.",NA,NA,NA,NA,NA,NA,NA,"el oro mex","eiectr. eng., j. l. crostwait, el oro, mex.","crossley","john","william","eiectr. eng."
"206","mmm1142",1926,"the mexican mines of el oro, ltd.",NA,NA,NA,NA,NA,NA,NA,"el oro mex","eiectr. eng., j. l. crostwait, el oro, mex.","crossley","john","william","eiectr. eng."
"207","mmm1147",1926,"cia. minera borda antigua y anexas s. a.",NA,NA,NA,NA,NA,NA,"organized, in mexico in 1887., ","michoacan","organized, in mexico in 1887., ",NA,NA,NA,NA
"208","mmm1152",1926,"cia. minera borda antigua y anexas s. a.",NA,NA,"this co. owns the borda antigua, refugio, josefina, sta. rosa, tesoro, de borda, maravillas, azteca, sta. rita, coloradillas, la luz de la sirena, s. antonio comargo. Requeña, st. luis, carmen de los virgenes mines of which the borda antigua is the best producing property.",NA,NA,NA,NA,"michoacan","this co. owns the borda antigua, refugio, josefina, sta. rosa, tesoro, de borda, maravillas, azteca, sta. rita, coloradillas, la luz de la sirena, s. antonio comargo. Requeña, st. luis, carmen de los virgenes mines of which the borda antigua is the best producing property.",NA,NA,NA,NA
"209","mmm1153",1926,"cia. minera borda antigua y anexas s. a.",NA,NA,NA,NA,NA,NA,NA,"officers personnel","officers personnel, ",NA,NA,NA,NA
"210","mmm1156",1926,"cia. minera borda antigua y anexas s. a.",NA,NA,NA,NA,NA,NA,NA,"mexico df","grl. mgr., h. e. nyberg, mexico, d. f.","nutt","harry","hol","grl. mgr."
"211","mmm1160",1926,"cia. minera borda antigua y anexas s. a.",NA,NA,NA,NA,NA,NA,NA,"dos estrellas mich","geologist, r. p. jarvis, mineral de dos estrellas, mich.","jarrett","royal",NA,"geologist"
"212","mmm1173",1926,"cia. minera de lais dos estrellas s. a.",NA,NA,NA,NA,NA,NA,NA,"mexico df","secr. & treas., arturo heymann, mexico, d. f.","hewlett","arturo",NA,"secr. & treas."
"213","mmm1175",1926,"cia. minera de lais dos estrellas s. a.",NA,NA,NA,NA,NA,NA,NA,"dos estrellas mich","gr. mgr, h. e. nyberg mineral de dos estrellas, mineral de dos estrellas, mich.","estates","h",NA,"gr. mgr"
"214","mmm1176",1926,"cia. minera de lais dos estrellas s. a.",NA,NA,NA,NA,NA,NA,NA,"mexico df","purch. agt., manuel b. chavez, mexico, d. f.","chavez","manuel",NA,"purch. agt."
"215","mmm1186",1926,"amajac mines co.",NA,"silver gold.",NA,NA,NA,NA,NA,"nayarit","silver gold.",NA,NA,NA,NA
"216","mmm1189",1926,"amajac mines co.",NA,NA,NA,NA,"35 metric tons.",NA,NA,"nayarit","daily output, 35 metric tons., ",NA,NA,NA,NA
"217","mmm1189",1926,"amajac mines co.",NA,NA,NA,NA,"35 metric tons.",NA,NA,"nayarit","daily output, 35 metric tons., ",NA,NA,NA,NA
"218","mmm1194",1926,"cia. exploradora de hidalgo s. a.",NA,NA,"this company is subsidiary of cia. de real del monte y pachuca, pachuca, hgo.",NA,NA,NA,NA,"nayarit","this company is subsidiary of cia. de real del monte y pachuca, pachuca, hgo.",NA,NA,NA,NA
"219","mmm1196",1926,"cia. exploradora de hidalgo s. a.",NA,NA,NA,NA,NA,NA,NA,"tepic nay","local spt, maurice breen, tepic, nay.","breen","maurice",NA,"local spt"
