"","loc","lon","lat"
"317","the komati district",NA,NA
"318","the kuruman district",NA,NA
"319","the lomagundi district",NA,NA
"320","the lydenburg district",30.447285,-25.0815817
"321","the malay",NA,NA
"322","the malay peninsula",NA,NA
"323","the malay states",NA,NA
"324","the mazoe district",NA,NA
"325","the mejicanu",NA,NA
"326","the middelburg district",NA,NA
"327","the moodie company",NA,NA
"328","the myersville district",NA,NA
"329","the nassurnwa district",NA,NA
"330","the neighbourhood of",NA,NA
"331","the neraguta and",NA,NA
"332","the new vaal",NA,NA
"333","the newcastle",NA,NA
"334","the north",NA,NA
"335","the obuassl",NA,NA
"336","the ofiin and",NA,NA
"337","the ohoco district",NA,NA
"338","the okhotsk region",NA,NA
"339","the oloncurry district",NA,NA
"340","the orange river",NA,NA
"341","the ottoman empire",NA,NA
"342","the parish of",-95.9722355,36.1400664
"343","the parishes of",NA,NA
"344","the past summer",NA,NA
"345","the peninsula of",NA,NA
"346","the portuguese territory",NA,NA
"347","the possession of",NA,NA
"348","the province of",NA,NA
"349","the provinces of",NA,NA
"350","the provinoe of",NA,NA
"351","the randt",NA,NA
"352","the reeuay mining",NA,NA
"353","the river",NA,NA
"354","the russian empire",NA,NA
"355","the rutherglen goldfield",NA,NA
"356","the same distr",NA,NA
"357","the same district",37.8087693,-4.1336927
"358","the same neighbourhood",NA,NA
"359","the sefwi district",NA,NA
"360","the semipalatinsk",NA,NA
"361","the somipalatinsk",NA,NA
"362","the south african",NA,NA
"363","the southern sudan",NA,NA
"364","the st",NA,NA
"365","the state of",NA,NA
"366","the sudbury district",NA,NA
"367","the talug",NA,NA
"368","the taluq of",NA,NA
"369","the tana or",NA,NA
"370","the tarkwa and",NA,NA
"371","the tarkwa district",NA,NA
"372","the territories of",NA,NA
"373","the territory of",NA,NA
"374","the tranbvaal",NA,NA
"375","the trans",NA,NA
"376","the transvaal",NA,NA
"377","the trausvaal",NA,NA
"378","the tsle of",NA,NA
"379","the urals",59.1619065,60.2784931
"380","the vicinity of",NA,NA
"381","the victoria district",NA,NA
"382","the wassau district",NA,NA
"383","the water",NA,NA
"384","the waterberg district",28.299435,-23.9747849
"385","the west",NA,NA
"386","the west and",NA,NA
"387","the west coast",NA,NA
"388","the west const",NA,NA
"389","the winncbah district",NA,NA
"390","the witwatersrand",NA,NA
"391","the witwatersrand district",NA,NA
"392","the witwatersrand distriot",NA,NA
"393","the wsssnu district",NA,NA
"394","the wvnaad",NA,NA
"395","the wynaad",NA,NA
"396","the wynaad district",NA,NA
"397","the wynaad field",NA,NA
"398","the yana or",NA,NA
"399","the yaua or",NA,NA
"400","the yenissei district",NA,NA
"401","the yilgarn district",NA,NA
"402","the yuan",NA,NA
"403","the yuan or",NA,NA
"404","the yukon",NA,NA
"405","the yukon district",NA,NA
"406","the zambesia",NA,NA
"407","the zoutpansberg",NA,NA
"408","the zoutpansberg diet",NA,NA
"409","the zoutpansberg district",NA,NA
"410","their estates",NA,NA
"411","their own name",NA,NA
"412","theurals",NA,NA
"413","this",NA,NA
"414","this golufield",NA,NA
"415","tho",NA,NA
"416","tho bauchi tinficld",NA,NA
"417","tho de kaap",NA,NA
"418","tho gold coast",NA,NA
"419","tlieir estates",NA,NA
"420","travancore",NA,NA
"421","tribute",NA,NA
"422","trinidad",-61.222503,10.691803
"423","tuolnmne county",NA,NA
"424","tuolumw",NA,NA
"425","u",NA,NA
"426","upper burmah",NA,NA
"427","utah",NA,NA
"428","various districts",NA,NA
"429","veneiue a",NA,NA
"430","very advantageous",NA,NA
"431","victoria",NA,NA
"432","victoria is well",NA,NA
"433","w",NA,NA
"434","wales and ireland",NA,NA
"435","wassau district",NA,NA
"436","weet africa",NA,NA
"437","west",NA,NA
"438","west afr",NA,NA
"439","west africa",NA,NA
