"","id","source","year","company","capital","lastname","firstname","middlename","role","loc","text","simpname","name","srch","temp","geometry"
"1197","amm10594","amm",1907,"Reliance Gold Mining Company. Nelson.",NA,NA,NA,NA,NA,"chilian ","May & Jennie Group. Water. Chilian Mill & 50 ton Cyanide Plant. 25",NA,NA,"Cyanid","amm",c(-71.542969, -35.675147)
"1736","amm14357","amm",1911,"Richmond Chemical Co., Richmond, Contra Costa Co. B2.",NA,"bilodeau","l",NA,"Manager","san francisco ","Ofce 235 Russ Bdg., San Francisco. L. Bilodeau, Manager. 50-ton Cyanide","bilodeau, l","bilodeau, l","Cyanid","amm",c(-122.4194155, 37.7749295)
"1891","amm15439","amm",1911,"Golden Cycle Mining Co., Goldfield, Teller Co. A",NA,"mcgarry","h",NA,"General Manager","colorado ","Office, Colorado Springs, Col.; Cyanide Plant, Colorado City, Col. H.","mcgarry, h","mcgarry, h","Cyanid","amm",c(-105.7820674, 39.5500507)
"2419","amm17246","amm",1911,"Federal Lead Co., Federal, Madison Co. A.",NA,NA,NA,NA,NA,"broadway ","(American Smelters Securities Co.) Office, 165 Broadway, New York.",NA,NA,"Smelter","amm",c(-94.4726334, 37.1465302)
"2442","amm17523","amm",1911,"Central Lead Co., Flat River, St. Francois Co. A.",NA,NA,NA,NA,NA,"broadway ","(American Smelters Securities Co.) Office. 165 Broadway, New York.",NA,NA,"Smelter","amm",c(-94.4726334, 37.1465302)
"2447","amm17536","amm",1911,"Edgar Zinc Co., St. Louis. B.",NA,NA,NA,NA,NA,"broadway ","(American Smelters Securities Co.) Office, 165 Broadway, New Yorlx.",NA,NA,"Smelter","amm",c(-94.4726334, 37.1465302)
"2830","amm18992","amm",1911,"Candor Mines Co., Candor. Montgomery Co. B2.",NA,NA,NA,NA,NA,"lehigh ","Fuller-Lehigh Mill and 100-ton Cyanide Plant. 50 Men",NA,NA,"Cyanid","amm",c(-75.3775187, 40.6048687)
"3034","amm20195","amm",1911,"Tacoma Smelting Co., Tacoma, Pierce Co. A.",NA,NA,NA,NA,NA,"broadway ","(American Smelters Securities Co.) Office, 165 Broadway, New York.",NA,NA,"Smelter","amm",c(-94.4726334, 37.1465302)
"3153","amm20712","amm",1911,"Office. 165 Broadway, New York. American Smelters Securities Co., Owners;",NA,"securitie","smelters","securities","Owner","broadway ","Office. 165 Broadway, New York. American Smelters Securities Co., Owners;","securitie, s s","securitie, smelterss","Smelter","amm",c(-94.4726334, 37.1465302)
"3788","amm22500","amm",1911,"Sinaloa Reduction Co., San Javier.",NA,"west","w","h","Manager","texas ","Office, El Paso. Texas W. H. West, Manager. Tailings Cyanide Plant.","west, w h","west, wh","Cyanid","amm",c(-99.9018131, 31.9685988)
"3926","amm23090","amm",1911,"Santa Virginia Mine & Milling Co., Amatlan De Canas. B2.",NA,NA,NA,NA,NA,"mariposa ","and Mariposa Mines. Gold. Shafts. 5 Stamps and Cyanide Plant. 50",NA,NA,"Cyanid","amm",c(-119.9662843, 37.4849377)
"3999","amm23395","amm",1911,"Daly Reduction Co., Limited, Hedley. A.",NA,NA,NA,NA,NA,"hedley ","ton Cyanide Plant. Electricity, uviines Operated by Hedley Gold Mining",NA,NA,"Cyanid","amm",c(-100.6604111, 34.8669964)
"4816","amm27487","amm",1916,"Empire Mines & Investment Co., Grass Valley. Ahd William B. Bourne, 375 Sutter Street, San Francisco, President. George W. Starr, General Manager. Albert E. Hooper, Surface Superintendent. Norman James, Mine Superintendent. F. A. Vestel, Cyanide Plants Superintendent. Frank W. Hooper, Superintendent Empire Mill. Louis Hooper, Superintendent Pennsylvania Mill. Empire And Pennsylvania Mines. Gold. 4800' And 2600’ Shafts. Electric Power And Compressors. 80 Stamps And Tube Mill. Amalgamationconcentration-Cyanide. 350 Men.",NA,"francisco","san",NA,"Pres","bourne ","EMPIRE MINES & INVESTMENT CO., GRASS VALLEY. AHD William B. Bourne, 375 Sutter Street, San Francisco, President. George W. Starr, General Manager. Albert E. Hooper, Surface Superintendent. Norman James, Mine Superintendent. F. A. Vestel, Cyanide Plants Superintendent. Frank W. Hooper, Superintendent Empire Mill. Louis Hooper, Superintendent Pennsylvania Mill. Empire and Pennsylvania Mines. Gold. 4800' and 2600’ Shafts. Electric Power and Compressors. 80 Stamps and Tube Mill. AmalgamationConcentration-Cyanide. 350 Men.","francisco, s","francisco, san","Cyanid","amm",c(-81.0712966, 29.2105922)
"4817","amm27488","amm",1916,"Engels Copper Mining Co., Keddie. Egp Elmer E. Paxton, 393 Mills Bdg., San Francisco, General Manager. John Reinmiller. Superintendent. W. J. Gruss, Mill Superintendent. L. A. Bell, 393 Mills Building, San Francisco, Purchasing Agent. Copper. 2000' Adit. Electric Power And Compressor. 3 Tube Mills. 500-T0n Concentrating (Flotation) Mill. 250 Men.",NA,"francisco","san",NA,"General Manager","san francisco ","ENGELS COPPER MINING CO., KEDDIE. EGP Elmer E. Paxton, 393 Mills Bdg., San Francisco, General Manager. John Reinmiller. Superintendent. W. J. Gruss, Mill Superintendent. L. A. Bell, 393 Mills Building, San Francisco, Purchasing Agent. Copper. 2000' Adit. Electric Power and Compressor. 3 Tube Mills. 500-t0n Concentrating (Flotation) Mill. 250 Men.","francisco, s","francisco, san","Flotat","amm",c(-122.4194155, 37.7749295)
"5281","amm28459","amm",1916,"Paragon Mine, Forest Hill.",NA,"beach","long",NA,"Owner","california ","J. F. Thompson, Long Beach, California, Owner and Manager. Placer. 1200 Acres. 8500' Adit. Water Power and Compressor. 10 Stamp Amalgamating Mill. 15 Men.","beach, l","beach, long","Amalgamati","amm",c(-119.4179324, 36.778261)
"5379","amm28742","amm",1916,"(Subsidiary Of American Smelters Securities Co., New York.)",NA,NA,NA,NA,NA,"new york ","(Subsidiary of American Smelters Securities Co., New York.)",NA,NA,"Smelter","amm",c(-74.0059728, 40.7127753)
