id,type,year,text
8363,cia,1911,"a the mining manual.stewart, george, marshall s buildings, main street, bulawayo.rhodesia, ltd"
8364,cia,1911,"st icht, robert c, queenstown, tasmania.mount lyell mining and railway ltd"
8365,cia,1911,"stockett, a. w, box, germiston, transvaal.simmer and jack proprietary mines, ltd"
8366,cia,1911,"btockfeld, gerhard a, aboeso, gold coast colony.abosso gold mining ltd"
8367,cia,1911,taquah mining and exploration ltd
8368,cia,1911,"west african trust, ltd"
8369,cia,1911,"stockings, j, la paz, bolivia.incahuara gold dredging ltd"
8370,cia,1911,"toddard, mark. burslem, staffs,pant ddu china clay ltd"
8371,cia,1911,"stollreither, g. d, box , johannesburg, transvaal.a. goerz ltd"
8372,cia,1911,"stonor, wilfrid t, morriston post office, madras presidency, india.anantspur gold field, ltd"
8373,cia,1911,"north anantapur gold mines, ltd"
8374,cia,1911,"stopher, reginald, day dawn, western australia.mmobison associated, ltd"
8375,cia,1911,"storey, c. b. c, white cross mills, lancaster.goldfields of venezuela, ltd"
8376,cia,1911,"storr, w. w, bolckow, vaughan ltd"
8377,cia,1911,"middle sborough on teee.bolckow, vaughan ltd"
8378,cia,1911,"strain, j. loudon, court house chambers, buxton.deal and walmer coalfields, ltd"
8379,cia,1911,"strange, harold f, box, johannesburg.johannesburg consolidated investment ltd"
8380,cia,1911,"stubbs, h.froghall mines, ltd"
8381,cia,1911,"stubbs. james william hill, randfontein, west rand, transvaal.randfontein estates gold mining ltd"
8382,cia,1911,randfontein south gold mining ltd
8383,cia,1911,"st uckey, leonard cecil, oopiapo, chili, south america.copiapo mining ltd"
8384,cia,1911,"studt, f. e, box , bulawayo, rhodesia.tanganyika concessions, ltd"
8385,cia,1911,"stuyok, juan, alcala, madrid.oviedo mercury mines, ltd"
8386,cia,1911,"sulman, henry livingstone, london wall, b.c.british metals extraction ltd"
8387,cia,1911,"sulman ficard.mineials separation, ltd"
8388,cia,1911,"sutherland, david alexander, victoria street, s.w, and equitable buildinc sv rtn vn,w.aiie v great cobar north, ltd"
8389,cia,1911,"sutherland, john w, boulder, west australia.golden horse shoe estates ltd"
8390,cia,1911,"sutherland, w. g, fremantle. west australia.fremantle trading ltd"
8391,cia,1911,"sutton, l. b, broadway, new york city, u.s.a.e peranza, ltd"
