source,year,simpname,nationality,edu,prof,org,loc,lon,lat,country
taime,1880,"althans, o o",german,,,,breslau germany,17.038538,51.107885,poland
taime,1882,"althans, o o",german,,,,breslau germany,17.038538,51.107885,poland
taime,1884,"althans, o o",german,,,,breslau germany,17.038538,51.107885,poland
taime,1886,"althans, o o",german,,,,breslau germany,17.038538,51.107885,poland
taime,1902,"althans, o o",german,,,,breslau germany,17.038538,51.107885,poland
taime,1902,"althouse, h h",,,mining engineer,,pottsville pa,-76.195499,40.685646,united states of america
taime,1902,"althouse, h h",,,,,pottsville pa,-76.195499,40.685646,united states of america
taime,1902,"ambrosius, c c",,,owner,ambrosius hermanos,guanacevi durango,-105.954674,25.931635,mexico
taime,1902,"ambrosius, j j",,,owner,la compania mexicana de muebles-,mexico city,-99.133208,19.432608,mexico
taime,1877,"amiot, h h",france.,,,,clermont ferrand france,3.087025,45.777222,france
taime,1880,"amiot, h h",france.,,,,clermont ferrand france,3.087025,45.777222,france
taime,1882,"amiot, h h",france.,,,,clermont ferrand france,3.087025,45.777222,france
taime,1884,"amiot, h h",france.,,,,clermont ierrand puy de d me,3.087025,45.777222,france
taime,1886,"amiot, h h",france.,,,,clermont ferrand france,3.087025,45.777222,france
taime,1912,"ammon, m m",,,,,cleveland ohio,-81.694361,41.49932,united states of america
taime,1876,"amrot, h h",,,,,puy de dome france,3.015583,45.712414,france
taime,1892,"amsden, f f",,,manager,paxton furnace,lebanon pa,-76.502574,40.366669,united states of america
taime,1902,"amsden, f f",,,manager,paxton furnace,harrisburg pa,-76.886701,40.273191,united states of america
taime,1892,"amsden, o o",,,mining engineer,black hills belt devel. co,san bernardino co cal,-116.419389,34.959208,united states of america
taime,1902,"amsden, o o",,,mining engineer,black hills belt devel. co,lead s dakota,-103.765198,44.352207,united states of america
taime,1894,"amsden, o o",,,,,needles cal,-114.614132,34.84806,united states of america
taime,1886,"amsler, c c",,,,mackintosh hemphill co.,pittsburgh pa,-79.995886,40.440625,united states of america
taime,1892,"amsler, c c",,,,,pittsburgh pa,-79.995886,40.440625,united states of america
taime,1902,"amsler, c c",,,,,pittsburgh pa,-79.995886,40.440625,united states of america
taime,1911,"amur, e e",,,,,siberia russia,99.196656,61.01371,russia
taime,1886,"amy, e e",,,,,new york city,-74.005973,40.712775,united states of america
taime,1892,"amy, e e",,,banker,h. amy & co,durango colorado,-107.880067,37.27528,united states of america
taime,1902,"amy, e e",,,banker,h. amy & co,ny city,-74.005973,40.712775,united states of america
taime,1886,"anastrom, c c",,,,,Borlange sweden,15.433969,60.484304,sweden
taime,1902,"andersen, c c",,,mining engineer,manvel,san bernardino co cal,-116.419389,34.959208,united states of america
taime,1904,"anderson, a a",,,draftsman,,denver colo,-104.990251,39.739236,united states of america
taime,1907,"anderson, a a",,,,,edinburgh scotland,-3.188267,55.953252,united kingdom
taime,1902,"anderson, f f",,,mining engineer,u. s. dep. mine surveyor,salt lake city utah,-111.891047,40.760779,united states of america
taime,1892,"anderson, g g",,,,,philadelphia pa,-75.165222,39.952584,united states of america
taime,1902,"anderson, g g",,,,,philadelphia pa,-75.165222,39.952584,united states of america
taime,1899,"anderson, j j",,,,,thacker w va,-82.131521,37.59455,united states of america
taime,1902,"anderson, j j",,,mining engineer,,Bramwell W Va,-81.311767,37.325116,united states of america
taime,1908,"anderson, j j",,,,,eccles manchester,-2.340598,53.482449,united kingdom
taime,1902,"anderson, j j",,,mining engineer,,dunlow w va,-82.431539,38.023147,united states of america
taime,1892,"anderson, r r",,,,,deadwood south dakota.,-103.729642,44.376651,united states of america
taime,1902,"anderson, r r",,,,,deadwood south dakota.,-103.729642,44.376651,united states of america
taime,1894,"anderson, r r",,,,,deadwood dakota,-103.729642,44.376651,united states of america
taime,1895,"anderson, r r",,,,,ponsonby mont,-80.47381,43.7027,canada
taime,1902,"anderson, r r",,,superintendent,,mexico city,-99.133208,19.432608,mexico
taime,1876,"anderson, r r",,,,,pittsburgh pa,-79.995886,40.440625,united states of america
taime,1877,"anderson, r r",,,,,pittsburgh pa,-79.995886,40.440625,united states of america
taime,1880,"anderson, r r",,,,,pittsburgh pa,-79.995886,40.440625,united states of america
taime,1882,"anderson, r r",,,,,pittsburgh pa,-79.995886,40.440625,united states of america
