,id,source,original name,simplified name,year,class,loc,lon,lat
1141,9972,total,"halliburton, wesley","halliburton, w",1892,I,FALSE,,
1142,9985,total,"ham, fred","ham, f",1889,VI,FALSE,,
1143,9998,total,"hamill, edward william","hamill, e w",1907,IV,FALSE,,
1144,10016,total,"hamilton, edward r","hamilton, e r",1874,I,FALSE,,
1145,10040,total,"hamlen, john elbert","hamlen, j e",1895,NA,FALSE,,
1146,10042,total,"hamlet, harry gabriel","hamlet, h g",1896,VI,FALSE,,
1147,10047,total,"hamlin, william e","hamlin, w e",1901,NA,FALSE,,
1148,10048,total,"hammarberg, axel","hammarberg, a",1905,III,FALSE,,
1149,10062,total,"hammett, william a","hammett, w a",1882,II,FALSE,,
1150,10069,total,"hammond, benjamin","hammond, b",1909,III,FALSE,,
1151,10096,total,"hanchett, annie l","hanchett, a l",1895,NA,FALSE,,
1152,10099,total,"hancock, john","hancock, j",1871,NA,FALSE,,
1153,10102,total,"handy, edward a","handy, e a",1875,I,FALSE,,
1154,10107,total,"hanford, clarence c","hanford, c c",1872,NA,FALSE,,
1155,10122,total,"hanna, hugh henry","hanna, h h",1900,VII,FALSE,,
1156,10128,total,"hanscom, helen macgregor","hanscom, h m",1899,NA,FALSE,,
1157,10133,total,"hansen, charles","hansen, c",1891,II,FALSE,,
1158,10141,total,"hanson, herbert f","hanson, h f",1883,NA,FALSE,,
1159,10182,total,"harding, selwyn lewis","harding, s l",1888,II,FALSE,,
1160,10183,total,"hardison, charles taylor","hardison, c t",1909,NA,FALSE,,
1161,10195,total,"hardy, george richardson","hardy, g r",1870,II,FALSE,,
1162,10198,total,"hardy, john c","hardy, j c",1870,NA,FALSE,,
1163,10215,total,"harkness, frank","harkness, f",1872,NA,FALSE,,
1164,10220,total,"harlow, fred caldwell","harlow, f c",1897,NA,FALSE,,
1165,10225,total,"harlow, john brayton","harlow, j b",1908,VI,FALSE,,
1166,10230,total,"harlow, william r","harlow, w r",1876,NA,FALSE,,
1167,10241,total,"harnett, james harold","harnett, j h",1904,II,FALSE,,
1168,10259,total,"harrington, charles anthony","harrington, c a",1909,XIII,FALSE,,
1169,10290,total,"harrington, walton george","harrington, w g",1910,III,FALSE,,
1170,10293,total,"harris, william augustus","harris, a w",1905,NA,FALSE,,
1171,10294,total,"harris, a w","harris, a w",1902,NA,FALSE,,
1172,10300,total,"harris, edward c","harris, e c",1869,NA,FALSE,,
1173,10316,total,"harris, hartman kulm","harris, h k",1905,IV,FALSE,,
1174,10332,total,"harris, william dale","harris, w d",1873,I,FALSE,,
1175,10333,total,"harris, william lincoln","harris, w l",1888,VII,FALSE,,
1176,10334,total,"harris, wilson park","harris, w p",1902,VII,FALSE,,
1177,10359,total,"hart, edward pendleton","hart, e p",1907,V,FALSE,,
1178,10360,total,"hart, frank burton","hart, f b",1883,IV,FALSE,,
1179,10371,total,"hart, roscoe dean","hart, r d",1912,VI,FALSE,,
1180,10379,total,"hartman, ira samuel","hartman, i s",1910,VI,FALSE,,
1181,10394,total,"hartshorne, william davis","hartshorne, w d",1880,V,FALSE,,
1182,10397,total,"hartt, william stephen","hartt, w s",1900,I,FALSE,,
1183,10398,total,"hartupee, william d","hartupee, w d",1877,II,FALSE,,
1184,10402,total,"hartwell, ernest g","hartwell, e g",1879,IV,FALSE,,
1185,10408,total,"harvey, edward kitson","harvey, e k",1910,I,FALSE,,
1186,10449,total,"haskell, edward aaron","haskell, e a",1887,I,FALSE,,
1187,10454,total,"haskell, preston hampton","haskell, p h",1894,NA,FALSE,,
1188,10456,total,"haskell, robert francis","haskell, r f",1908,IV,FALSE,,
1189,10464,total,"haskins, william","haskins, w",1891,III,FALSE,,
1190,10468,total,"hassett, edward joseph","hassett, e j",1884,II,FALSE,,
1191,10487,total,"hastings, james king","hastings, j k",1892,NA,FALSE,,
1192,10492,total,"hastings, thomas nelson","hastings, t n",1881,NA,FALSE,,
1193,10504,total,"hatch, john howard","hatch, j h",1876,NA,FALSE,,
1194,10505,total,"hatch, james walter","hatch, j w",1886,NA,FALSE,,
1195,10554,total,"havens, ralph edgar","havens, r e",1904,I,FALSE,,
1196,10560,total,"hawes, george lenox","hawes, g l",1890,VI,FALSE,,
1197,10565,total,"hawes, john wheelock","hawes, j w",1888,VI,FALSE,,
1198,10570,total,"hawkins, david spaulding","hawkins, d s",1892,NA,FALSE,,
1199,10581,total,"hawkins, william robert","hawkins, w r",1893,II,FALSE,,
1200,10588,total,"hawley, james joseph","hawley, j j",1895,IV,FALSE,,
1201,10599,total,"hayden, charles fred","hayden, c f",1893,NA,FALSE,,
1202,10608,total,"hayden, joseph alonzo","hayden, j a",1900,VI,FALSE,,
1203,10613,total,"hayden, lowell thayer","hayden, l t",1901,II,FALSE,,
1204,10616,total,"hayes, alfred c","hayes, a c",1889,II,FALSE,,
1205,10628,total,"hayes, lawrence warner","hayes, l w",1906,II,FALSE,,
1206,10661,total,"hayward, george g","hayward, g g",1877,V,FALSE,,
1207,10684,total,"hazeltine, reginald","hazeltine, r",1904,III,FALSE,,
1208,10695,total,"head, james higginson","head, j h",1875,II,FALSE,,
1209,10696,total,"healey, benjamin francis","healey, b f",1897,VI,FALSE,,
1210,10718,total,"heath, charles alexander","heath, c a",1885,II,FALSE,,
1211,10729,total,"heaton, edgar s","heaton, e s",1874,NA,FALSE,,
1212,10768,total,"heins, george lewis","heins, g l",1882,IV,FALSE,,
1213,10782,total,"hemingray, daniel carroll","hemingray, d c",1879,V,FALSE,,
1214,10789,total,"henchman, russel bruce","henchman, r b",1887,NA,FALSE,,
1215,10798,total,"henderson, james buist","henderson, j b",1896,II,FALSE,,
1216,10818,total,"henne, ernest","henne, e",1902,IV,FALSE,,
1217,10829,total,"henry, percy chandler","henry, p c",1912,II,FALSE,,
1218,10860,total,"hermann, louis alfred","hermann, l a",1904,V,FALSE,,
1219,10866,total,"herndon, charles thomson","herndon, c t",1913,VI,FALSE,,
1220,10870,total,"herpich, charles","herpich, c",1885,NA,FALSE,,
1221,10879,total,"herrick, anna c","herrick, a c",1888,V,FALSE,,
1222,10882,total,"herrick, celeste w","herrick, c w",1884,II,FALSE,,
1223,10883,total,"herrick, edward webster","herrick, e w",1888,II,FALSE,,
1224,10936,total,"heywood, angelo tilton","heywood, a t",1906,III,FALSE,,
1225,10939,total,"heywood, george henry","heywood, g h",1884,III,FALSE,,
1226,10940,total,"heywood, john p","heywood, j p",1890,NA,FALSE,,
1227,10941,total,"heywood, lincoln crawford","heywood, l c",1891,I,FALSE,,
1228,10943,total,"hibbard, charles","hibbard, c",1909,XIII,FALSE,,
1229,10947,total,"hibbard, thomas bartlett","hibbard, t b",1895,VII,FALSE,,
1230,10962,total,"hicks, charles atherton","hicks, a c",1876,NA,FALSE,,
1231,10972,total,"higbee, florence j","higbee, f j",1897,V,FALSE,,
1232,11013,total,"hildreth, edward theodore","hildreth, e t",1899,V,FALSE,,
1233,11020,total,"hileman, william","hileman, w",1910,VI,FALSE,,
1234,11051,total,"hill, george william","hill, g w",1898,NA,FALSE,,
1235,11063,total,"hill, joseph briggs","hill, j b",1894,IV,FALSE,,
1236,11064,total,"hill, nathaniel","hill, n",1877,I,FALSE,,
1237,11069,total,"hill, solon p","hill, s p",1881,NA,FALSE,,
1238,11072,total,"hillard, frank s","hillard, f s",1869,NA,FALSE,,
1239,11073,total,"hillard, james lincoln","hillard, j l",1870,NA,FALSE,,
1240,11084,total,"hilliard, william moody","hilliard, w m",1904,XIII,FALSE,,
1241,11093,total,"hills, harold fellows","hills, h f",1902,I,FALSE,,
1242,11102,total,"hilton, george albert","hilton, g a",1890,II,FALSE,,
1243,11116,total,"hinds, frederick williams","hinds, f w",1906,XIII,FALSE,,
1244,11124,total,"hines, mabel f","hines, m f",1880,V,FALSE,,
1245,11133,total,"hinsdale, kathryn mills","hinsdale, k m",1906,V,FALSE,,
1246,11134,total,"hirokawa, tomokichi","hirokawa, t",1900,VI,FALSE,,
1247,11141,total,"hirst, philip leslie","hirst, p l",1893,VI,FALSE,,
1248,11155,total,"hix, edward randolph","hix, e r",1888,II,FALSE,,
1249,11162,total,"hoadley, francis washburn","hoadley, f w",1888,NA,FALSE,,
1250,11163,total,"hoar, charles e","hoar, c e",1872,NA,FALSE,,
1251,11172,total,"hobart, j frank","hobart, j f",1883,II,FALSE,,
1252,11173,total,"hobart, lowell f","hobart, l f",1888,NA,FALSE,,
1253,11178,total,"hobbs, helen e","hobbs, h e",1899,IV,FALSE,,
1254,11198,total,"hodges, o","hodges, o",1875,II,FALSE,,
1255,11206,total,"hodgkins, william w","hodgkins, w w",1893,NA,FALSE,,
1256,11207,total,"hodgkinson, harold howe","hodgkinson, h h",1910,III,FALSE,,
1257,11221,total,"hogel, william effingham","hogel, w e",1906,III,FALSE,,
1258,11257,total,"holden, albert fairchild","holden, a f",1889,NA,FALSE,,
1259,11269,total,"holdship, charles f","holdship, c f",1884,NA,FALSE,,
1260,11273,total,"holland, francis j","holland, f j",1892,NA,FALSE,,
1261,11284,total,"holliday, clyde william","holliday, c w",1892,VI,FALSE,,
1262,11290,total,"hollingsworth, sumner","hollingsworth, s",1876,II,FALSE,,
1263,11295,total,"hollis, walter monroe","hollis, w m",1896,VI,FALSE,,
1264,11305,total,"holman, frank l","holman, f l",1873,IV,FALSE,,
1265,11314,total,"holman, silas whitcomb","holman, s w",1876,VIII,FALSE,,
1266,11315,total,"holman, silas w","holman, s w",1881,V,FALSE,,
1267,11370,total,"holt, henry cutter","holt, h c",1891,IV,FALSE,,
1268,11384,total,"holwill, john anderson","holwill, j a",1895,IX,FALSE,,
1269,11395,total,"homer, florence mary","homer, f m",1907,NA,FALSE,,
1270,11399,total,"homer, william bradford","homer, w b",1891,NA,FALSE,,
1271,11414,total,"hooker, edward d","hooker, e d",1882,NA,FALSE,,
1272,11415,total,"hooker, francis brewster","hooker, f b",1910,II,FALSE,,
1273,11428,total,"hoole, henry william","hoole, h w",1908,II,FALSE,,
1274,11432,total,"hooper, frank william","hooper, f w",1909,IV,FALSE,,
1275,11459,total,"hopkins, frank t","hopkins, f t",1877,NA,FALSE,,
1276,11476,total,"hopkins, robert milne","hopkins, r m",1900,VI,FALSE,,
1277,11493,total,"horgan, john dennis","horgan, j d",1898,II,FALSE,,
1278,11500,total,"horne, lewis winslow","horne, l w",1901,XIII,FALSE,,
1279,11508,total,"horsey, burton tuttle","horsey, b t",1901,XIII,FALSE,,
1280,11519,total,"horton, james dunnicee","horton, j d",1893,IV,FALSE,,
1281,11537,total,"hosmer, alfred w","hosmer, a w",1871,NA,FALSE,,
1282,11538,total,"hosmer, charles e","hosmer, c e",1878,V,FALSE,,
1283,11545,total,"hosmer, william walter","hosmer, w w",1906,NA,FALSE,,
1284,11550,total,"hotchkiss, william d","hotchkiss, w d",1879,I,FALSE,,
1285,11557,total,"hough, benjamin k","hough, b k",1869,NA,FALSE,,
1286,11564,total,"houghton, george euclid","houghton, g e",1907,II,FALSE,,
1287,11565,total,"houghton, george w","houghton, g w",1873,NA,FALSE,,
1288,11566,total,"houghton, herbert allen","houghton, h a",1893,II,FALSE,,
1289,11573,total,"hounsfield, lammot du","hounsfield, l d",1901,X,FALSE,,
1290,11585,total,"hovey, charles emerson","hovey, c e",1906,NA,FALSE,,
1291,11587,total,"hovey, james b","hovey, j b",1887,NA,FALSE,,
1292,11615,total,"howard, john r","howard, j r",1886,NA,FALSE,,
1293,11626,total,"howard, thomas howard","howard, t h",1882,IV,FALSE,,
1294,11627,total,"howard, william l","howard, w l",1872,NA,FALSE,,
1295,11630,total,"howe, benjamin m","howe, b m",1886,II,FALSE,,
1296,11631,total,"howe, benjamin n","howe, b n",1873,NA,FALSE,,
1297,11642,total,"howe, edward t","howe, e t",1870,NA,FALSE,,
1298,11645,total,"howe, frank m","howe, f m",1872,NA,FALSE,,
1299,11646,total,"howe, george bridges","howe, g b",1892,IV,FALSE,,
1300,11653,total,"howe, horace joseph","howe, h j",1879,I,FALSE,,
1301,11657,total,"howe, john e","howe, j e",1888,IV,FALSE,,
1302,11678,total,"howell, helen philips","howell, h p",1898,VII,FALSE,,
1303,11698,total,"howes, edward townsend","howes, e t",1901,IV,FALSE,,
