"","id","year","company","capital","office","yearg","situated","mine","loc","text","lastname","firstname","middlename","prof"
"117","myb329775",1908,"TRANS CONTIN ENTAL TRANSPORTATION",NA,NA,NA,NA,NA,"cardiff","properties have been acquired and the Oakdale Navigation Collieries, Ltd. has",NA,NA,NA,NA
"118","myb332661",1909,"BELLEVUE LIMITED",NA,NA,NA,NA,NA,"western","reconstruction of a company of similar namo registered November, 1896, lirst",NA,NA,NA,NA
"119","myb335712",1909,"HANNAN S LAND COMPANY LIMITED",NA,NA,NA,NA,NA,"kalgoorlie","Lake View East Mines, Ltd., Bellevne and Prentice and Southern Dee Leads",NA,NA,NA,NA
"120","myb342058",1909,"AFRICAN SALTPETRE COMPANY UMITED",NA,NA,NA,NA,NA,NA,"Direotors Qualification, £260 . Frederick P. T. Stniben, Chairman. | John 8. Sheldrick. I George H. Raw. | J. Cameron Swan",NA,NA,NA,NA
"121","myb345277",1909,"CHA RTE RED BRITI SH SOUTH A FRICA COMPANY",2436647,NA,NA,NA,NA,"rhodesia","The authorised capital is £500,000, in 500,000 shares of £1 each j 344,500",NA,NA,NA,NA
"122","myb345713",1909,"COM PAGN I E ANG LP FR ANCAISE M AROCAI NE LTD",NA,NA,NA,NA,NA,"london","mining concessions at Tangiers, Morooco. The consideration was £50,000, pay",NA,NA,NA,NA
"123","myb349333",1909,"FRENCH AYRSHIRE AND LO MAGONDI DISTRICT D E VE LOPM E NT COMPANY LIMITED",NA,NA,NA,NA,NA,"london","showed gold receipts £288,359 and a profit of £47,704 making with balance",NA,NA,NA,NA
"124","myb350347",1909,"GOLD COAST AGENCY NEW LIMITED",NA,NA,NA,NA,NA,"london","West at oost £371,815 ; creditors £84.",NA,NA,NA,NA
"125","myb350868",1909,"HARMONY PROPRIETARY COMPANY LIMITED",NA,NA,NA,NA,NA,"transvaal","of the estate to various syndicates. The estate is well watered and timbered.",NA,NA,NA,NA
"126","myb351708",1909,"JOTIPEBS DEEP",NA,NA,NA,NA,NA,"johannesburg","JOTIPEBS DEEP",NA,NA,NA,NA
"127","myb353476",1909,"COMPANY LIMITED",NA,NA,NA,NA,NA,"johannesburg","forward a sum of £58,496 which was carried forward. The accounts to June",NA,NA,NA,NA
