"id","type","source","year","lastname","firstname","middlename","simpname","edu","org","loc","lon","lat","country","text","position","lname","nationality","company","freq","prof"
"aime72573","professional","taime",1884,"loiseau","o",NA,"loiseau, o",NA,NA,"ougr e belgium",5.544341,50.60124,"belgium",NA,NA,"loiseau",NA,NA,78851,NA
"aime72574","professional","taime",1884,"loiseeat","e",NA,"loiseeat, e",NA,NA,"philadelphia pa",-75.16522,39.95258,"united states of america",NA,NA,"loiseeat",NA,NA,78851,NA
"aime72765","professional","taime",1884,"long","j",NA,"long, j",NA,"Richmond Furnace","mont alto pa",-77.55832,39.84426,"united states of america",NA,NA,"long",NA,NA,2,NA
"aime72792","professional","taime",1884,"long","walter",NA,"long, w",NA,NA,"fairlee vermont",-72.15187,43.90536,"united states of america",NA,NA,"long",NA,NA,78851,NA
"aime72809","professional","taime",1884,"longacre","o",NA,"longacre, o",NA,NA,"new york city",-74.00597,40.71278,NA,NA,NA,"longacre",NA,NA,78851,NA
"aime72832","professional","taime",1884,"longnecker","g",NA,"longnecker, g",NA,NA,"mechanicsburg pa",-77.00803,40.21327,"united states of america",NA,NA,"longnecker",NA,NA,78851,NA
"aime72952","professional","taime",1884,"lopge","r",NA,"lopge, r",NA,"North Chicago Rolling Mill Company","so chicago ii",-87.62371,41.87958,"united states of america",NA,NA,"lopge",NA,NA,38,NA
"aime73055","professional","taime",1884,"lorenz","wilh","oswald","lorenz, w o","mining eng",NA,"philadelphia pa",-75.16522,39.95258,"united states of america",NA,NA,"lorenz",NA,NA,78851,NA
"aime73116","professional","taime",1884,"lorp","n",NA,"lorp, n",NA,"Ohio State Univ","columbus ohio",-82.99879,39.96118,"united states of america",NA,NA,"lorp",NA,NA,10,NA
"aime73118","professional","taime",1884,"lorp","r",NA,"lorp, r",NA,NA,"georgetown colorado",-105.6975,39.7061,"united states of america",NA,NA,"lorp",NA,NA,78851,NA
"aime73382","professional","taime",1884,"lowe","thomas","marvel","lowe, t m","civil eng",NA,"idaho springs colorado",-105.5136,39.74249,"united states of america",NA,NA,"lowe",NA,NA,78851,NA
"aime73433","professional","taime",1884,"lrsiey","j",NA,"lrsiey, j",NA,"State Geologist","philadelphia pa",-75.16522,39.95258,"united states of america",NA,"state geologist","lrsiey",NA,NA,27,"state geologist"
"aime73448","professional","taime",1884,"ltahn","i",NA,"ltahn, i",NA,NA,"sharpsburg pa",-79.92644,40.49451,"united states of america",NA,NA,"ltahn",NA,NA,78851,NA
"aime73505","professional","taime",1884,"luce","edith",NA,"luce, e",NA,NA,"milwaukee wis",-87.90647,43.0389,"united states of america",NA,NA,"luce",NA,NA,78851,NA
"aime73560","professional","taime",1884,"ludlan","j",NA,"ludlan, j",NA,NA,"lowell mass",-71.31617,42.63343,"united states of america",NA,NA,"ludlan",NA,NA,78851,NA
"aime73640","professional","taime",1884,"lukens","j",NA,"lukens, j",NA,NA,"conshohocken pa",-75.30157,40.07928,"united states of america",NA,NA,"lukens",NA,NA,78851,NA
"aime73786","professional","taime",1884,"luther","howard","bourne","luther, h b","civil eng",NA,"ashland pa",-76.34578,40.78175,"united states of america",NA,NA,"luther",NA,NA,78851,NA
"aime73789","professional","taime",1884,"luther","r",NA,"luther, r","mining eng",NA,"pottsville pa",-76.1955,40.68565,"united states of america",NA,NA,"luther",NA,NA,78851,NA
"aime73875","professional","taime",1884,"lyman","francis",NA,"lyman, f","mining eng",NA,"brooklyn n y",-73.94416,40.67818,"united states of america",NA,NA,"lyman",NA,NA,78851,NA
"aime74390","professional","taime",1884,"macdonald","co","joseph","macdonald, c j",NA,NA,"new york city",-74.00597,40.71278,NA,NA,NA,"macdonald",NA,NA,78851,NA
"aime74764","professional","taime",1884,"mackintosh","james","buckton","mackintosh, j b","mining eng",NA,"hoboken n j",-74.03236,40.74399,"united states of america",NA,NA,"mackintosh",NA,NA,78851,NA
"aime74954","professional","taime",1884,"macxkintosn","w",NA,"macxkintosn, w",NA,NA,"pittsburgh pa",-79.99589,40.44062,"united states of america",NA,NA,"macxkintosn",NA,NA,78851,NA
"aime74961","professional","taime",1884,"macy","arthur",NA,"macy, a","mining eng",NA,"silver king arizona",-111.0874,33.33049,"united states of america",NA,NA,"macy",NA,NA,78851,NA
"aime75370","professional","taime",1884,"male","j",NA,"male, j",NA,NA,"troy n y",-73.69178,42.72841,"united states of america",NA,NA,"male",NA,NA,78851,NA
"aime75618","professional","taime",1884,"mann","hayward","kimball","mann, h k","electrical eng",NA,"pittsburgh pa",-79.99589,40.44062,"united states of america",NA,NA,"mann",NA,NA,78851,NA
"aime75716","professional","taime",1884,"manning","thomas",NA,"manning, t","mining eng",NA,"new york city",-74.00597,40.71278,NA,NA,NA,"manning",NA,NA,78851,NA
"aime75730","professional","taime",1884,"manon","r",NA,"manon, r",NA,"Lafayette College","easton pa",-75.22073,40.68843,"united states of america",NA,NA,"manon",NA,NA,34,NA
"aime75734","professional","taime",1884,"manrci","w",NA,"manrci, w",NA,NA,"jersey city n j",-74.04314,40.71775,"united states of america",NA,NA,"manrci",NA,NA,78851,NA
"aime75853","professional","taime",1884,"maoury","s",NA,"maoury, s",NA,NA,"richmond va",-77.43605,37.54073,"united states of america",NA,NA,"maoury",NA,NA,78851,NA
"aime76026","professional","taime",1884,"markham","a","b","markham, a b",NA,NA,"markhamville n b",-65.45135,45.61098,"canada",NA,NA,"markham",NA,NA,78851,NA
"aime76046","professional","taime",1884,"markle","j",NA,"markle, j",NA,NA,"jeddo pa",-75.89631,40.99564,"united states of america",NA,NA,"markle",NA,NA,78851,NA
"aime76076","professional","taime",1884,"marnis","t",NA,"marnis, t",NA,NA,"telluride colorado",-107.8123,37.93749,"united states of america",NA,NA,"marnis",NA,NA,78851,NA
"aime76083","professional","taime",1884,"marple","w",NA,"marple, w",NA,NA,"bridgeport pa",-75.34518,40.10511,"united states of america",NA,NA,"marple",NA,NA,78851,NA
"aime76105","professional","taime",1884,"marrett","w",NA,"marrett, w",NA,NA,"wilkes barre pa",-75.88131,41.24591,"united states of america",NA,NA,"marrett",NA,NA,78851,NA
"aime76138","professional","taime",1884,"mars","j",NA,"mars, j",NA,NA,"albany n y",-73.75623,42.65258,"united states of america",NA,NA,"mars",NA,NA,78851,NA
"aime76223","professional","taime",1884,"marshall","b",NA,"marshall, b",NA,NA,"sandusky ohio",-82.71168,41.45618,"united states of america",NA,NA,"marshall",NA,NA,78851,NA
"aime76225","professional","taime",1884,"marshall","c",NA,"marshall, c",NA,NA,"johnstown pa",-78.92197,40.32674,"united states of america",NA,NA,"marshall",NA,NA,78851,NA
"aime76352","professional","taime",1884,"martin","e",NA,"martin, e",NA,"Blaenavon Iron Works","glamorgan wales",-3.484817,51.4096,"united kingdom",NA,NA,"martin",NA,NA,5,NA
