firstname,middlename,lastname,fname
samuel,NA,jeffrey,Samuel Jeffrey
elystan,g.,jeffreys,Elystan G. Jeffreys
george,NA,jeffreys,George Jeffreys
james,NA,jeffreys,James Jeffreys
edgar,h.,jeffries,Edgar H. Jeffries
john,NA,jeffries,John Jeffries
joshua,NA,jeffries,Joshua Jeffries
william,d.,jeffries,William D. Jeffries
zay,NA,jeffries,Zay Jeffries
eli,NA,jeffryes,Eli Jeffryes
ernest,e.,jefsel,Ernest E. Jefsel
Frank,M.,Jefts,Frank M. Jefts
julius,reinhold,jehnichen,Julius Reinhold Jehnichen
samuel,NA,jeifrey,Samuel Jeifrey
demetrius,george,jelatis,Demetrius George Jelatis
frederic,charles,jelen,Frederic Charles Jelen
Miodrag,NA,Jelioijevitch,Miodrag Jelioijevitch
and,e.,jellett,And E. Jellett
douglas,mill,jemmiett,Douglas Mill Jemmiett
local,johannetburg,jemrysevan,Local Johannetburg Jemrysevan
james,w.,jemson,James W. Jemson
chih,kung,jen,Chih Kung Jen
edwin,kenyon,jenckes,Edwin Kenyon Jenckes
earl,stanton,jenckes,Earl Stanton Jenckes
george,augustine,jenckes,George Augustine Jenckes
malcolm,allan,jenckes,Malcolm Allan Jenckes
Hollis,W.,Jencks,Hollis W. Jencks
Ralph,J.,Jencks,Ralph J. Jencks
juan,NA,jenelin,Juan Jenelin
louise,isabel,jenison,Louise Isabel Jenison
george,f.,jenkin,George F. Jenkin
pearso,NA,jenkin,Pearso Jenkin
allan,NA,jenkins,Allan Jenkins
austin,d.,jenkins,Austin D. Jenkins
austin,dickinson,jenkins,Austin Dickinson Jenkins
austin,s.,jenkins,Austin S. Jenkins
bichard,j.,jenkins,Bichard J. Jenkins
claude,b.,jenkins,Claude B. Jenkins
charles,d.,jenkins,Charles D. Jenkins
charles,dean,jenkins,Charles Dean Jenkins
charles,francis,jenkins,Charles Francis Jenkins
charles,glentworth,jenkins,Charles Glentworth Jenkins
charles,h.,jenkins,Charles H. Jenkins
charles,shmkwin,jenkins,Charles Shmkwin Jenkins
charles,sbinkwin,jenkins,Charles Sbinkwin Jenkins
charles,shinkwin,jenkins,Charles Shinkwin Jenkins
charles,shinkwiu,jenkins,Charles Shinkwiu Jenkins
charted,shiukwin,jenkins,Charted Shiukwin Jenkins
david,john,jenkins,David John Jenkins
elaine,boycott,jenkins,Elaine Boycott Jenkins
edward,boycott,jenkins,Edward Boycott Jenkins
ernest,boycott,jenkins,Ernest Boycott Jenkins
ernest,foster,jenkins,Ernest Foster Jenkins
edward,magill,jenkins,Edward Magill Jenkins
edward,sumners,jenkins,Edward Sumners Jenkins
frederie,augustus,jenkins,Frederie Augustus Jenkins
francis,grey,jenkins,Francis Grey Jenkins
francis,v.,jenkins,Francis V. Jenkins
george,frederic,jenkins,George Frederic Jenkins
George,H.,Jenkins,George H. Jenkins
george,henry,jenkins,George Henry Jenkins
gerald,stuart,jenkins,Gerald Stuart Jenkins
Harding,NA,Jenkins,Harding Jenkins
homer,NA,jenkins,Homer Jenkins
henry,a.,jenkins,Henry A. Jenkins
henry,b.,jenkins,Henry B. Jenkins
henry,charles,jenkins,Henry Charles Jenkins
Hiram,L.,Jenkins,Hiram L. Jenkins
hubert,oliver,jenkins,Hubert Oliver Jenkins
john,NA,jenkins,John Jenkins
Joseph,H.,Jenkins,Joseph H. Jenkins
james,l.,jenkins,James L. Jenkins
james,martin,jenkins,James Martin Jenkins
lewis,NA,jenkins,Lewis Jenkins
leonard,and,jenkins,Leonard And Jenkins
llewellin,and,jenkins,Llewellin And Jenkins
lemuel,ray,jenkins,Lemuel Ray Jenkins
lyle,r.,jenkins,Lyle R. Jenkins
lawrence,waters,jenkins,Lawrence Waters Jenkins
morton,maccallum,jenkins,Morton Maccallum Jenkins
prof,henry,jenkins,Prof Henry Jenkins
robert,ellsworth,jenkins,Robert Ellsworth Jenkins
robert,f.,jenkins,Robert F. Jenkins
richard,jonathan,jenkins,Richard Jonathan Jenkins
robert,stuart,jenkins,Robert Stuart Jenkins
samuel,NA,jenkins,Samuel Jenkins
samnel,NA,jenkins,Samnel Jenkins
thomas,hanna,jenkins,Thomas Hanna Jenkins
vance,nelson,jenkins,Vance Nelson Jenkins
william,benjamin,jenkins,William Benjamin Jenkins
william,e.,jenkins,William E. Jenkins
william,fountain,jenkins,William Fountain Jenkins
william,h.,jenkins,William H. Jenkins
william,j.,jenkins,William J. Jenkins
william,kinnalrd,jenkins,William Kinnalrd Jenkins
willinui,kinnaird,jenkins,Willinui Kinnaird Jenkins
william,kinnaird,jenkins,William Kinnaird Jenkins
william,lewis,jenkins,William Lewis Jenkins
william,r.,jenkins,William R. Jenkins
william,s.,jenkins,William S. Jenkins
edward,ficipe,jenkinson,Edward Ficipe Jenkinson
arthur,NA,jenks,Arthur Jenks
allan,m.,jenks,Allan M. Jenks
allan,w.,jenks,Allan W. Jenks
arthur,wilton,jenks,Arthur Wilton Jenks
barton,h.,jenks,Barton H. Jenks
barton,pickering,jenks,Barton Pickering Jenks
henry,NA,jenks,Henry Jenks
houry,NA,jenks,Houry Jenks
Harold,E.,Jenks,Harold E. Jenks
harold,gould,jenks,Harold Gould Jenks
norman,l.,jenks,Norman L. Jenks
robert,ellsworth,jenks,Robert Ellsworth Jenks
secrmeatnaargyer,h.,jenks,Secrmeatnaargyer H. Jenks
shirley,h.,jenks,Shirley H. Jenks
secrmeatnaargyer,n.,jenks,Secrmeatnaargyer N. Jenks
thomas,NA,jenks,Thomas Jenks
william,NA,jenks,William Jenks
Walter,H.,Jenks,Walter H. Jenks
william,NA,jenldnslp,William Jenldnslp
llj,NA,jenner,Llj Jenner
Charles,H.,Jenness,Charles H. Jenness
herbert,leon,jenness,Herbert Leon Jenness
lucian,NA,jenness,Lucian Jenness
Roger,R.,Jenness,Roger R. Jenness
alexander,stoddard,jenney,Alexander Stoddard Jenney
frank,NA,jenney,Frank Jenney
melvin,richard,jenney,Melvin Richard Jenney
paul,gmelin,jenney,Paul Gmelin Jenney
walter,NA,jenney,Walter Jenney
warren,NA,jenney,Warren Jenney
alfred,e.,jenni,Alfred E. Jenni
walter,j.,jenni,Walter J. Jenni
joseph,NA,jenningp,Joseph Jenningp
arthur,cook,jennings,Arthur Cook Jennings
alfred,chappell,jennings,Alfred Chappell Jennings
arthur,k.,jennings,Arthur K. Jennings
arthur,l.,jennings,Arthur L. Jennings
arthur,lewis,jennings,Arthur Lewis Jennings
alfred,vaughan,jennings,Alfred Vaughan Jennings
alfred,waughan,jennings,Alfred Waughan Jennings
bollcitors,NA,jennings,Bollcitors Jennings
donald,brownlie,jennings,Donald Brownlie Jennings
edward,b.,jennings,Edward B. Jennings
earp,franklin,jennings,Earp Franklin Jennings
hcunen,NA,jennings,Hcunen Jennings
henncn,NA,jennings,Henncn Jennings
hennen,NA,jennings,Hennen Jennings
hulbert,randall,jennings,Hulbert Randall Jennings
isaac,NA,jennings,Isaac Jennings
idney,NA,jennings,Idney Jennings
josiah,NA,jennings,Josiah Jennings
john,e.,jennings,John E. Jennings
jeremiah,edmund,jennings,Jeremiah Edmund Jennings
joseph,hugh,jennings,Joseph Hugh Jennings
james,w.,jennings,James W. Jennings
levi,brown,jennings,Levi Brown Jennings
leo,r.,jennings,Leo R. Jennings
none,l.,jennings,None L. Jennings
oscar,NA,jennings,Oscar Jennings
oliver,saunders,jennings,Oliver Saunders Jennings
paul,a.,jennings,Paul A. Jennings
robert,NA,jennings,Robert Jennings
samuel,NA,jennings,Samuel Jennings
snmuol,NA,jennings,Snmuol Jennings
sidney,j.,jennings,Sidney J. Jennings
william,NA,jennings,William Jennings
walter,upham,jennings,Walter Upham Jennings
sidney,j.,jennisgs,Sidney J. Jennisgs
Benjamin,F.,Jennison,Benjamin F. Jennison
Ernest,N.,Jennison,Ernest N. Jennison
marshall,walker,jennison,Marshall Walker Jennison
Samuel,S.,Jennison,Samuel S. Jennison
warren,NA,jennison,Warren Jennison
francis,joseph,jenny,Francis Joseph Jenny
william,frederick,jenrick,William Frederick Jenrick
anton,NA,jensen,Anton Jensen
andrew,carl,jensen,Andrew Carl Jensen
alfred,c.,jensen,Alfred C. Jensen
bertram,p.,jensen,Bertram P. Jensen
carl,waldemar,jensen,Carl Waldemar Jensen
harold,camillo,jensen,Harold Camillo Jensen
hans,p.,jensen,Hans P. Jensen
hans,peter,jensen,Hans Peter Jensen
joseph,camillo,jensen,Joseph Camillo Jensen
Jeno,C.,Jensen,Jeno C. Jensen
ralph,c.,jensen,Ralph C. Jensen
robert,n.,jensen,Robert N. Jensen
joseph,NA,jenson,Joseph Jenson
lauritz,dorenfeldt,jenssen,Lauritz Dorenfeldt Jenssen
gray,NA,jensvold,Gray Jensvold
erhard,arno,jentzsch,Erhard Arno Jentzsch
just,jul,jentzsch,Just Jul Jentzsch
julins,NA,jepiw,Julins Jepiw
julius,NA,jepno,Julius Jepno
sir,jeppe,jepp,Sir Jeppe Jepp
douglas,painton,jeppe,Douglas Painton Jeppe
douglas,paintor,jeppe,Douglas Paintor Jeppe
gualification,NA,jeppe,Gualification Jeppe
geygerle,ltd,jeppe,Geygerle Ltd Jeppe
julius,NA,jeppe,Julius Jeppe
julias,NA,jeppe,Julias Jeppe
juliub,NA,jeppe,Juliub Jeppe
jghamilton,julius,jeppe,Jghamilton Julius Jeppe
louis,august,jeppe,Louis August Jeppe
loo,edwards,jeppe,Loo Edwards Jeppe
messrs,honnet,jeppe,Messrs Honnet Jeppe
shareb,j.,jeppe,Shareb J. Jeppe
sir,j.,jeppe,Sir J. Jeppe
slr,j.,jeppe,Slr J. Jeppe
yuatiflcation,j.,jeppe,Yuatiflcation J. Jeppe
julius,NA,jeppecaairaan,Julius Jeppecaairaan
George,N.,Jeppson,George N. Jeppson
abraham,NA,jepsky,Abraham Jepsky
melvin,NA,jepson,Melvin Jepson
henri,l.,jequier,Henri L. Jequier
stephan,NA,jeramjanz,Stephan Jeramjanz
peter,joseph,jerardi,Peter Joseph Jerardi
carl,gustave,jerden,Carl Gustave Jerden
riehanl,c.,jeremiah,Riehanl C. Jeremiah
herbert,foster,jermain,Herbert Foster Jermain
russ,NA,jermejeff,Russ Jermejeff
joseph,leonard,jernegan,Joseph Leonard Jernegan
charles,watson,jerome,Charles Watson Jerome
frank,jay,jerome,Frank Jay Jerome
james,d.,jerrell,James D. Jerrell
roderick,leon,jerrett,Roderick Leon Jerrett
chester,charles,jersey,Chester Charles Jersey
new,NA,jersey,New Jersey
arthur,j.,jersin,Arthur J. Jersin
carl,anders,jervelund,Carl Anders Jervelund
thomas,flack,jervelund,Thomas Flack Jervelund
henry,epstein,jervis,Henry Epstein Jervis
Walter,J.,Jerz,Walter J. Jerz
john,a.,jess,John A. Jess
william,goodc,jesse,William Goodc Jesse
charles,j.,jessel,Charles J. Jessel
ernest,e.,jessel,Ernest E. Jessel
harold,everett,jessen,Harold Everett Jessen
joseph,d.,jesseph,Joseph D. Jesseph
boo,j.,jesson,Boo J. Jesson
goo,j.,jesson,Goo J. Jesson
chas,NA,jessop,Chas Jessop
ohas,NA,jessop,Ohas Jessop
albert,beardsley,jessup,Albert Beardsley Jessup
alfred,emerson,jessup,Alfred Emerson Jessup
Everett,E.,Jessup,Everett E. Jessup
ernest,robinson bard warren canfield,jessup,Ernest Robinson Bard Warren Canfield Jessup
harlan,robinson,jessup,Harlan Robinson Jessup
simeon,van,jester,Simeon Van Jester
john,tinsley,jeter,John Tinsley Jeter
charles,edward,jetfcock,Charles Edward Jetfcock
norman,NA,jette,Norman Jette
karl,NA,jetter,Karl Jetter
earl,joseph,jeuck,Earl Joseph Jeuck
bernard,NA,jeup,Bernard Jeup
charles,clark,jeur,Charles Clark Jeur
george,maurice,jevers,George Maurice Jevers
julius,NA,jevpe,Julius Jevpe
gilbert,e.,jewel,Gilbert E. Jewel
arthur,doles,jewell,Arthur Doles Jewell
asa,hickman,jewell,Asa Hickman Jewell
Clinton,B.,Jewell,Clinton B. Jewell
edward,ernest,jewell,Edward Ernest Jewell
george,NA,jewell,George Jewell
gilbert,e.,jewell,Gilbert E. Jewell
james,NA,jewell,James Jewell
paul,vernon,jewell,Paul Vernon Jewell
ralph,a.,jewell,Ralph A. Jewell
robert,a.,jewell,Robert A. Jewell
samuel,NA,jewell,Samuel Jewell
Winfield,S.,Jewell,Winfield S. Jewell
arthur,c.,jewett,Arthur C. Jewett
arthur,crawford,jewett,Arthur Crawford Jewett
arthur,roger,jewett,Arthur Roger Jewett
charles,corey,jewett,Charles Corey Jewett
earold,carter,jewett,Earold Carter Jewett
edward,everett,jewett,Edward Everett Jewett
edward,h.,jewett,Edward H. Jewett
frank,baldwin,jewett,Frank Baldwin Jewett
frank,carr,jewett,Frank Carr Jewett
frederic,carr,jewett,Frederic Carr Jewett
harrison,leach,jewett,Harrison Leach Jewett
harry,parker,jewett,Harry Parker Jewett
jesse,NA,jewett,Jesse Jewett
Joseph,H.,Jewett,Joseph H. Jewett
kenneth,dubois,jewett,Kenneth Dubois Jewett
Leroy,R.,Jewett,Leroy R. Jewett
raymond,bryce,jewett,Raymond Bryce Jewett
stanley,až,jewett,Stanley Až Jewett
sidney,bascome,jewett,Sidney Bascome Jewett
stanley,p.,jewett,Stanley P. Jewett
theodore,carter,jewett,Theodore Carter Jewett
thomas,edward,jewett,Thomas Edward Jewett
thomas,green,jewett,Thomas Green Jewett
william,NA,jewett,William Jewett
William,B.,Jewett,William B. Jewett
ffices,old,jewr,Ffices Old Jewr
old,NA,jewry,Old Jewry
omces,old,jewry,Omces Old Jewry
aron,NA,jewserow,Aron Jewserow
count,l.,jeziersk,Count L. Jeziersk
count,l.,jezierski,Count L. Jezierski
hubert,NA,jezler,Hubert Jezler
advitovy,NA,jfatal,Advitovy Jfatal
kdmondoiyfimcioimioii,j.,jfleutot,Kdmondoiyfimcioimioii J. Jfleutot
resistred,NA,jflnuary,Resistred Jflnuary
paget,peploe,jfosley,Paget Peploe Jfosley
conscualtpitn,gtheehnognin,jgwhitef,Conscualtpitn Gtheehnognin Jgwhitef
collieriesthe,district,jherria,Collieriesthe District Jherria
maeniar,grers,jholland,Maeniar Grers Jholland
collieriesthe,district,jhorria,Collieriesthe District Jhorria
london,NA,jhreetort,London Jhreetort
gordon,beves,jhryan,Gordon Beves Jhryan
share,NA,jhthomas,Share Jhthomas
eugene,NA,jiannetti,Eugene Jiannetti
ziiining,jiianual,jiianua,Ziiining Jiianual Jiianua
john,NA,jiipli,John Jiipli
edmund,NA,jiissen,Edmund Jiissen
and,phcemg,jilfimii,And Phcemg Jilfimii
douglas,conde,jillson,Douglas Conde Jillson
wilhelm,karl,jilth e,Wilhelm Karl Jilth E
amado,NA,jimenez,Amado Jimenez
arturo,tinoco,jimenez,Arturo Tinoco Jimenez
carl,NA,jimenez,Carl Jimenez
frank,NA,jimenez,Frank Jimenez
james,NA,jimiiesmi,James Jimiiesmi
francisco,sancho,jiminez,Francisco Sancho Jiminez
frica,tn,jimite,Frica Tn Jimite
arthur,toward,jimmy,Arthur Toward Jimmy
jinnee,NA,jinne,Jinnee Jinne
nicol,NA,jirown,Nicol Jirown
richard,NA,jjimburger,Richard Jjimburger
alexander,iaat,jjkeswick,Alexander Iaat Jjkeswick
argo,nauts,jjmited,Argo Nauts Jjmited
lord,atcenharo,jkiooo,Lord Atcenharo Jkiooo
local,johannesburg,jkmrysevan,Local Johannesburg Jkmrysevan
hares,sinclair,jlacleay,Hares Sinclair Jlacleay
arthur,crozier,jlaudet,Arthur Crozier Jlaudet
prof,NA,jlawn,Prof Jlawn
rcgisth,cd,jllly,Rcgisth Cd Jllly
oapt,f.,jloaenthiil,Oapt F. Jloaenthiil
lord,armstrong,jloieoy,Lord Armstrong Jloieoy
donald,frsscr,jlonks,Donald Frsscr Jlonks
qualilicauon,NA,jlwhite,Qualilicauon Jlwhite
uwao,NA,jmai,Uwao Jmai
tmcullinanmla,awerkafi,jmitchell,Tmcullinanmla Awerkafi Jmitchell
manaflng,agentscalcutte,jmline,Manaflng Agentscalcutte Jmline
jamea,NA,jndd,Jamea Jndd
local,board,jnhunnzlburg,Local Board Jnhunnzlburg
george,auldjo,jnmieron,George Auldjo Jnmieron
matthew,NA,jnmieson,Matthew Jnmieson
javier,NA,joachamvaras,Javier Joachamvaras
and,offloes,joachim,And Offloes Joachim
and,offices,joachim,And Offices Joachim
demetrius,NA,joachimescu,Demetrius Joachimescu
vasil,emanoil,joanitiu,Vasil Emanoil Joanitiu
marquis,h.,joannib,Marquis H. Joannib
marquis,h.,joannis,Marquis H. Joannis
francisco,g.,joaquin,Francisco G. Joaquin
carl,richard,job,Carl Richard Job
charles,l.,jobb,Charles L. Jobb
william,h.,jobes,William H. Jobes
mark,ernest,jobling,Mark Ernest Jobling
alfred,NA,jobnson,Alfred Jobnson
alfred,NA,jobson,Alfred Jobson
erich,NA,jobst,Erich Jobst
hugo,NA,jobst,Hugo Jobst
oskar,NA,jobst,Oskar Jobst
simon,NA,jochamowitz,Simon Jochamowitz
andrew,NA,jochum,Andrew Jochum
colin,balmain,joe,Colin Balmain Joe
solomon,b.,joei,Solomon B. Joei
francis,swanzy,joel,Francis Swanzy Joel
john,b.,joel,John B. Joel
john,stroyan,joel,John Stroyan Joel
london,stroyan,joel,London Stroyan Joel
solomon,NA,joel,Solomon Joel
samuel,b.,joel,Samuel B. Joel
woolf,NA,joel,Woolf Joel
woolt,NA,joel,Woolt Joel
marquis,h.,joennis,Marquis H. Joennis
pavel,v.,joff,Pavel V. Joff
julian,NA,joffe,Julian Joffe
meyer,NA,joffe,Meyer Joffe
pavel,v.,jofl,Pavel V. Jofl
local,board,joha,Local Board Joha
local,board,johaiim,Local Board Johaiim
local,hoard,johamitrhunj,Local Hoard Johamitrhunj
local,board,johamnetburg,Local Board Johamnetburg
lurtrtor,NA,johanaemlnro,Lurtrtor Johanaemlnro
local,board,johanne,Local Board Johanne
local,NA,johanneaburg,Local Johanneaburg
local,at,johanneeburg,Local At Johanneeburg
local,board,johanneeburg,Local Board Johanneeburg
local,NA,johannegburtj,Local Johannegburtj
local,NA,johanneiburtj,Local Johanneiburtj
local,board,johannenburg,Local Board Johannenburg
local,board,johannesbrwg,Local Board Johannesbrwg
sitnate,near,johannesbur,Sitnate Near Johannesbur
agents,at,johannesburg,Agents At Johannesburg
box,jeppe,johannesburg,Box Jeppe Johannesburg
box,madew,johannesburg,Box Madew Johannesburg
corner,house,johannesburg,Corner House Johannesburg
lvcal,NA,johannesburg,Lvcal Johannesburg
local,at,johannesburg,Local At Johannesburg
local,board,johannesburg,Local Board Johannesburg
local,baard,johannesburg,Local Baard Johannesburg
local,directan,johannesburg,Local Directan Johannesburg
local,ehrlich,johannesburg,Local Ehrlich Johannesburg
local,hoard,johannesburg,Local Hoard Johannesburg
local,of,johannesburg,Local Of Johannesburg
local,repreaentati,johannesburg,Local Repreaentati Johannesburg
main,line,johannesburg,Main Line Johannesburg
miles,west,johannesburg,Miles West Johannesburg
pars,c.,johannesburg,Pars C. Johannesburg
pars,ev,johannesburg,Pars Ev Johannesburg
local,conmi,johannesburgk,Local Conmi Johannesburgk
loecanlgcinomemeirtt,ee,johannetbur,Loecanlgcinomemeirtt Ee Johannetbur
local,board,johannetburg,Local Board Johannetburg
dirtctor,at,johannethurg,Dirtctor At Johannethurg
local,board,johannexburg,Local Board Johannexburg
charles,christian,johansen,Charles Christian Johansen
elmer,lawrence,johansen,Elmer Lawrence Johansen
neil,e.,johanson,Neil E. Johanson
frederick,emanuel,johansson,Frederick Emanuel Johansson
karl,fredrik,johansson,Karl Fredrik Johansson
local,NA,johanuetburg,Local Johanuetburg
alfred,driver,john,Alfred Driver John
ajor,edward,john,Ajor Edward John
ajor,s.,john,Ajor S. John
bernard,gibson,john,Bernard Gibson John
colin,NA,john,Colin John
charles,algernon,john,Charles Algernon John
chr,benj,john,Chr Benj John
charles,clifford,john,Charles Clifford John
charles,eves,john,Charles Eves John
charles,howard,john,Charles Howard John
david,j.,john,David J. John
david,premantle,john,David Premantle John
david,w.,john,David W. John
edward,NA,john,Edward John
edward,st,john,Edward St John
edward,thomas,john,Edward Thomas John
edward,t.,john,Edward T. John
frederic,courtland,john,Frederic Courtland John
frederic,johns,john,Frederic Johns John
fcew,rt,john,Fcew Rt John
frederick,william,john,Frederick William John
george,a.,john,George A. John
gcorgo,butler,john,Gcorgo Butler John
george,henry,john,George Henry John
george,rouliot,john,George Rouliot John
george,st,john,George St John
gen,william,john,Gen William John
hugh,NA,john,Hugh John
henry,marshall,john,Henry Marshall John
henry,n.,john,Henry N. John
henry,thomas,john,Henry Thomas John
iderick,bradbury,john,Iderick Bradbury John
james,alex,john,James Alex John
james,callum,john,James Callum John
john,dixon,john,John Dixon John
james,galium,john,James Galium John
james,harry,john,James Harry John
john,harry,john,John Harry John
john,rylance,john,John Rylance John
john,shaw,john,John Shaw John
james,thomas,john,James Thomas John
john,thomas,john,John Thomas John
janper,william,john,Janper William John
john,william,john,John William John
kdward,NA,john,Kdward John
kdwnrd,NA,john,Kdwnrd John
lohn,brouard,john,Lohn Brouard John
leonard,brouard,john,Leonard Brouard John
louis,james,john,Louis James John
louis,w.,john,Louis W. John
mateo,clark,john,Mateo Clark John
mine,man,john,Mine Man John
ness,of,john,Ness Of John
ness,penngaskell,john,Ness Penngaskell John
nos,to,john,Nos To John
obbuassi,mines,john,Obbuassi Mines John
ordinary,or,john,Ordinary Or John
percy,alport,john,Percy Alport John
purser,and,john,Purser And John
peter,penngaskell,john,Peter Penngaskell John
richard,donagan,john,Richard Donagan John
robert,w.,john,Robert W. John
stanley,NA,john,Stanley John
sir,henry,john,Sir Henry John
samuel,jennings,john,Samuel Jennings John
south,knights,john,South Knights John
sheffield,neave,john,Sheffield Neave John
senator,r.,john,Senator R. John
stuart,wearne,john,Stuart Wearne John
thomas,NA,john,Thomas John
victor,william,john,Victor William John
william,auchincloss,john,William Auchincloss John
william,f.,john,William F. John
walter,h.,john,Walter H. John
walter,idwal,john,Walter Idwal John
william,keswick,john,William Keswick John
werner,otto,john,Werner Otto John
johnamanda,NA,johnamand,Johnamanda Johnamand
johnco,NA,johnc,Johnco Johnc
robert,fritz,johnel,Robert Fritz Johnel
frank,e.,johnesee,Frank E. Johnesee
frank,e.,johnesse,Frank E. Johnesse
alfred,augustus,johns,Alfred Augustus Johns
alfred,l.,johns,Alfred L. Johns
dwight,frederick,johns,Dwight Frederick Johns
emery,f.,johns,Emery F. Johns
john,henry,johns,John Henry Johns
john,harry,johns,John Harry Johns
john,hurry,johns,John Hurry Johns
james,harry,johns,James Harry Johns
james,htrry,johns,James Htrry Johns
john,htrry,johns,John Htrry Johns
james,h.,johns,James H. Johns
jasper,w.,johns,Jasper W. Johns
john,w.,johns,John W. Johns
mrs,NA,johns,Mrs Johns
mijor,NA,johns,Mijor Johns
samuel,NA,johns,Samuel Johns
william,NA,johns,William Johns
walter,NA,johns,Walter Johns
winthrop,asa,johns,Winthrop Asa Johns
norman,martin,johnsen,Norman Martin Johnsen
ilajc,f.,johnsm,Ilajc F. Johnsm
johnson,NA,johnso,Johnson Johnso
irvine,NA,johnsoa,Irvine Johnsoa
abyjah,NA,johnson,Abyjah Johnson
archibald,NA,johnson,Archibald Johnson
arthur,NA,johnson,Arthur Johnson
anna,NA,johnson,Anna Johnson
ashby,NA,johnson,Ashby Johnson
alfin,NA,johnson,Alfin Johnson
axel,NA,johnson,Axel Johnson
arthur,albert,johnson,Arthur Albert Johnson
alfred,bainbridge,johnson,Alfred Bainbridge Johnson
albert,charles,johnson,Albert Charles Johnson
amos,daniel,johnson,Amos Daniel Johnson
arthur,frederick,johnson,Arthur Frederick Johnson
arthur,godfrey,johnson,Arthur Godfrey Johnson
albert,godfrey,johnson,Albert Godfrey Johnson
alexander,hamilton,johnson,Alexander Hamilton Johnson
algot,julius,johnson,Algot Julius Johnson
algot,kimbal,johnson,Algot Kimbal Johnson
arthur,kimbal,johnson,Arthur Kimbal Johnson
arthur,kimball,johnson,Arthur Kimball Johnson
abbott,livingston,johnson,Abbott Livingston Johnson
albert,lincoln,johnson,Albert Lincoln Johnson
arnold,lee,johnson,Arnold Lee Johnson
arnold,michael,johnson,Arnold Michael Johnson
arthur,michael,johnson,Arthur Michael Johnson
arthur,newhall,johnson,Arthur Newhall Johnson
arthur,p.,johnson,Arthur P. Johnson
alfred,p.,johnson,Alfred P. Johnson
alfred,russell,johnson,Alfred Russell Johnson
arthur,sanborn,johnson,Arthur Sanborn Johnson
arthur,t.,johnson,Arthur T. Johnson
andrew,ture,johnson,Andrew Ture Johnson
alexander,ture,johnson,Alexander Ture Johnson
anders,victor,johnson,Anders Victor Johnson
arthur,wallace,johnson,Arthur Wallace Johnson
Benjamin,NA,Johnson,Benjamin Johnson
bernard,angas,johnson,Bernard Angas Johnson
bert,day,johnson,Bert Day Johnson
benjamin,e.,johnson,Benjamin E. Johnson
bertrand,haley,johnson,Bertrand Haley Johnson
bir,j.,johnson,Bir J. Johnson
bertrand,leroy,johnson,Bertrand Leroy Johnson
benjamin,lewis,johnson,Benjamin Lewis Johnson
byron,m.,johnson,Byron M. Johnson
byron,p.,johnson,Byron P. Johnson
benjamin,robert,johnson,Benjamin Robert Johnson
covington,NA,johnson,Covington Johnson
Carl,NA,Johnson,Carl Johnson
carl,augustinus,johnson,Carl Augustinus Johnson
charles,amos,johnson,Charles Amos Johnson
charles,adolph,johnson,Charles Adolph Johnson
clarence,albert,johnson,Clarence Albert Johnson
carl,a.,johnson,Carl A. Johnson
charles,berkeley,johnson,Charles Berkeley Johnson
charles,chaplin,johnson,Charles Chaplin Johnson
charles,c.,johnson,Charles C. Johnson
charles,e.,johnson,Charles E. Johnson
charles,edmondston,johnson,Charles Edmondston Johnson
charles,edward,johnson,Charles Edward Johnson
carl,f.,johnson,Carl F. Johnson
carl,francis,johnson,Carl Francis Johnson
cyril,frederick,johnson,Cyril Frederick Johnson
charles,herbert,johnson,Charles Herbert Johnson
charles,h.,johnson,Charles H. Johnson
charles,harmany,johnson,Charles Harmany Johnson
charles,henry,johnson,Charles Henry Johnson
charles,j.,johnson,Charles J. Johnson
charles,m.,johnson,Charles M. Johnson
cleon,rupert,johnson,Cleon Rupert Johnson
carl,rudman,johnson,Carl Rudman Johnson
cleon,rudman,johnson,Cleon Rudman Johnson
charles,richard,johnson,Charles Richard Johnson
charles,rudman,johnson,Charles Rudman Johnson
charles,r.,johnson,Charles R. Johnson
claude,sylvester,johnson,Claude Sylvester Johnson
clyde,v.,johnson,Clyde V. Johnson
Charles,W.,Johnson,Charles W. Johnson
david,c.,johnson,David C. Johnson
donald,g.,johnson,Donald G. Johnson
dion,l.,johnson,Dion L. Johnson
donald,l.,johnson,Donald L. Johnson
donald,m.,johnson,Donald M. Johnson
daniel,philip,johnson,Daniel Philip Johnson
daniel,stewart,johnson,Daniel Stewart Johnson
emily,NA,johnson,Emily Johnson
elias,NA,johnson,Elias Johnson
eleanor,NA,johnson,Eleanor Johnson
ellis,adolph,johnson,Ellis Adolph Johnson
eldon,alfred,johnson,Eldon Alfred Johnson
edward,burke,johnson,Edward Burke Johnson
everett,bailey,johnson,Everett Bailey Johnson
Edward,B.,Johnson,Edward B. Johnson
ernest,conover,johnson,Ernest Conover Johnson
ernest,d.,johnson,Ernest D. Johnson
Einar,D.,Johnson,Einar D. Johnson
Edward,E.,Johnson,Edward E. Johnson
edmund,g.,johnson,Edmund G. Johnson
edmund,h.,johnson,Edmund H. Johnson
elias,h.,johnson,Elias H. Johnson
edward,j.,johnson,Edward J. Johnson
edward,l.,johnson,Edward L. Johnson
edmund,l.,johnson,Edmund L. Johnson
earley,mcilhenny,johnson,Earley Mcilhenny Johnson
edward,mackey,johnson,Edward Mackey Johnson
