loc,lat,lon,country,n,d
Braganca,-1.0628,-46.7728,Brazil,2,NA
Braganca,41.8067,-6.7589,Portugal,2,NA
Braintree,51.878,0.55,United Kingdom,2,1
Braintree,42.2039,-71.0022,United States,2,1
Brandon,27.9367,-82.3,United States,3,1
Brandon,49.8483,-99.95,Canada,3,1
Brandon,52.4474,0.6242,United Kingdom,3,1
Brentwood,40.7839,-73.2522,United States,2,1
Brentwood,51.62,0.305,United Kingdom,2,1
Brest,52.1347,23.6569,Belarus,2,NA
Brest,48.39,-4.49,France,2,NA
Bridgetown,13.0975,-59.6167,Barbados,2,1
Bridgetown,39.1552,-84.6359,United States,2,1
Bridgewater,40.5934,-74.6076,United States,2,1
Bridgewater,44.37,-64.52,Canada,2,1
Brighton,50.8208,-0.1375,United Kingdom,3,1
Brighton,39.9716,-104.7963,United States,3,1
Brighton,44.1222,-77.7642,Canada,3,1
Bristol,51.4536,-2.5975,United Kingdom,2,1
Bristol,36.5572,-82.2154,United States,2,1
Brockton,42.0821,-71.0242,United States,2,1
Brockton,44.1667,-81.2167,Canada,2,1
Bruges,51.2089,3.2242,Belgium,2,NA
Bruges,44.8828,-0.6125,France,2,NA
Buckingham,51.995,-0.986,United Kingdom,2,1
Buckingham,40.3188,-75.058,United States,2,1
Buenavista,8.9744,125.409,Philippines,2,NA
Buenavista,8.2233,-75.4817,Colombia,2,NA
Buenos Aires,-34.5997,-58.3819,Argentina,4,NA
Buenos Aires,2.9167,-76.6667,Colombia,4,NA
Buenos Aires,9.1985,-83.2816,Costa Rica,4,NA
Buenos Aires,-7.7258,-35.3269,Brazil,4,NA
Burgdorf,52.45,10.0083,Germany,2,NA
Burgdorf,47.05,7.6167,Switzerland,2,NA
Burgos,42.3408,-3.6997,Spain,2,NA
Burgos,17.0667,121.7,Philippines,2,NA
Burlington,43.3167,-79.8,Canada,2,1
Burlington,36.076,-79.4685,United States,2,1
Busia,0.4669,34.09,Uganda,2,NA
Busia,0.4633,34.1053,Kenya,2,NA
Caceres,39.4833,-6.3667,Spain,3,NA
Caceres,-16.0711,-57.6789,Brazil,3,NA
Caceres,7.6667,-75.3333,Colombia,3,NA
Cadiz,10.95,123.3,Philippines,2,NA
Cadiz,36.535,-6.2975,Spain,2,NA
Caimito,22.9575,-82.5964,Cuba,2,NA
Caimito,8.8333,-75.1667,Colombia,2,NA
Cairo,30.0444,31.2358,Egypt,2,1
Cairo,30.879,-84.205,United States,2,1
Cajamarca,-7.1667,-78.5167,Peru,2,NA
Cajamarca,4.4167,-75.5,Colombia,2,NA
Calarasi,44.2,27.3333,Romania,2,NA
Calarasi,47.25,28.3,Moldova,2,NA
Calatrava,10.6,123.4833,Philippines,2,NA
Calatrava,1.1164,9.4186,Equatorial Guinea,2,NA
Caldas,6.09,-75.638,Colombia,2,NA
Caldas,-21.9239,-46.3858,Brazil,2,NA
Caledon,43.8667,-79.8667,Canada,2,NA
Caledon,-34.23,19.4283,South Africa,2,NA
Camargo,27.667,-105.167,Mexico,2,NA
Camargo,-20.6403,-65.2103,Bolivia,2,NA
Camas,37.402,-6.0332,Spain,3,1
Camas,45.6005,-122.4304,United States,3,1
Camas,40.9131,37.5169,Turkey,3,1
Cambridge,43.3972,-80.3114,Canada,4,1
Cambridge,52.2053,0.1192,United Kingdom,4,1
Cambridge,42.3759,-71.1185,United States,4,1
Cambridge,-37.8833,175.4667,New Zealand,4,1
Campamento,14.55,-86.65,Honduras,2,NA
Campamento,6.9789,-75.2964,Colombia,2,NA
Campo Largo,-25.4589,-49.5278,Brazil,2,NA
Campo Largo,-26.8,-60.8333,Argentina,2,NA
Candelaria,13.9311,121.4233,Philippines,8,NA
Candelaria,18.1835,-91.0463,Mexico,8,NA
Candelaria,3.4,-76.3833,Colombia,8,NA
Candelaria,-29.6689,-52.7889,Brazil,8,NA
Candelaria,28.3547,-16.371,Spain,8,NA
Candelaria,22.7439,-82.9581,Cuba,8,NA
Candelaria,18.4042,-66.2175,Puerto Rico,8,NA
Candelaria,13.75,-88.95,El Salvador,8,NA
Canoas,-29.92,-51.18,Brazil,2,NA
Canoas,8.5333,-82.8333,Costa Rica,2,NA
