lon,lat,locn
-71.088192,42.3603843,"Middlesex County, Massachusetts, United States"
-77.03687,38.90719,"Washington, District of Columbia, United States"
-75.370458,40.625932,"Northampton County, Pennsylvania, United States"
-79.3408743,40.9995097,"Armstrong County, Pennsylvania, United States"
-71.0245188,42.2811843,"Norfolk County, Massachusetts, United States"
-74.0096693,40.7367406,"New York County, City of New York, New York, United States"
-95.6181744,37.037025,"Montgomery County, Kansas, United States"
-65.7550063,-19.5722805,"Provincia Tomás Frías, Potosí, Bolivia"
-74.0075388,40.7294452,"New York County, City of New York, New York, United States"
-79.995886,40.440625,"Allegheny County, Pennsylvania, United States"
-74.171811,40.916765,"Passaic County, New Jersey, United States"
-87.888037,41.594072,"Cook County, Illinois, United States"
-107.6714487,38.0227716,"Ouray County, Colorado, United States"
-71.062031,42.351932,"Suffolk County, Massachusetts, United States"
-78.67664,35.78939,"Wake County, North Carolina, United States"
-74.2135762,40.5828378,"Middlesex County, New Jersey, United States"
-75.1179823,39.9934039,"Philadelphia, Pennsylvania United States"
-1.7281512,53.8126755,"West Yorkshire, England, United Kingdom"
-0.1153734,51.5169531,"Greater London, England, United Kingdom"
174.886,-40.90056,"Wellington, New Zealand / Aotearoa"
-4.406027,54.23367,"Garff, Isle of Man"
-74.4056612,40.0583238,"Ocean County, New Jersey, United States"
174.885971,-40.900557,"Wellington, New Zealand / Aotearoa"
-97.1430671,32.844017,"Tarrant County, Texas, United States"
-105.7820674,39.5500507,"Park County, Colorado, United States"
-86.81036,33.51859,"Jefferson County, Alabama, United States"
-102.5528,23.6345,"Villa de Cos, Zacatecas, México"
-75.59937,38.36067,"Wicomico County, Maryland, United States"
-0.0823131,51.51386,"City of London, Greater London, England, United Kingdom"
-77.042754,-12.0463731,"Lima, Lima Metropolitana, Lima, Perú"
-0.0780036,51.5120679,"City of London, Greater London, England, United Kingdom"
-76.2177,43.10646,"Onondaga County, New York, United States"
101.3431058,-0.589724,"Kabupaten Kuantan Singingi, Riau, Sumatera Indonesia"
-78.7625185,39.6528654,"Allegany County, Maryland, United States"
-3.2004714,55.9529237,"City of Edinburgh, Alba / Scotland, United Kingdom"
-2.857738,52.60873,"Shropshire, England, United Kingdom"
-1.460338,53.38424,"South Yorkshire, England, United Kingdom"
-81.35789,41.15367,"Portage County, Ohio, United States"
-88.48643,37.36727,"Pope County, Illinois, United States"
10.2178819,10.9097059,"Ganjuwa, Bauchi, Nigeria"
