org,company,og_id
Gilwen Colliery Company,Gilwen Colliery Company,301
Sebakwe And District Mines Limited,Sebakwe And District Mines Limited,302
Cou Sart Colliew Com Pan,Cou Sart Colliew Com Pan,303
Genebal Mining Association,Genebal Mining Association,304
Carmen Gold Mining Company,Carmen Gold Mining Company,305
Republic Mines Company,Republic Mines Company,306
Mountain Copper Company,Mountain Copper Company,307
Eni,NA,308
Tough Oakes Gold Mines Limited,NA,309
De Beers Kimberley,NA,310
A E G Electrical Company,NA,311
Director R W Munro Ltd,NA,312
Moraleja Gold Bearing Alluvial Concession,Moraleja Gold Bearing Alluvial Concession,313
Mashonaland And Zoutpansberg Exploration Syndicate,Mashonaland And Zoutpansberg Exploration Syndicate,314
Bay Ley Mines Limited,Bay Ley Mines Limited,315
Rice Hawlton Exploration Syndicate Cate,Rice Hawlton Exploration Syndicate Cate,316
Empress Rhodesia Mines Limited,Empress Rhodesia Mines Limited,317
Egyptian Mines Qemvevlqrmewnt Company,Egyptian Mines Qemvevlqrmewnt Company,318
West Mexican Mines Ltd,"West Mexican Mines, Ltd.",319
Stall Ac Nielsen Company,NA,320
Navy Department,NA,321
Hercules Mining Milling Co,Hercules Mining & Milling Co,322
Matabele Queen s Co,Matabele Queen's Co.,323
Willoughby s Consolidated Co,Willoughby's Consolidated Co.,324
Department Weyerhaeuser Steamship Company,NA,325
Rhodesia Exploration Development Limited,Rhodesia Exploration Development Limited,326
Rhodesia Katanga Junction Railway Company,Rhodesia Katanga Junction Railway Company,327
Ley Ash Ala Mining Limited,Ley Ash Ala Mining Limited,328
Mashonaland Consolidated Limited,Mashonaland Consolidated Limited,329
New Rhodesia District Development Limited,New Rhodesia District Development Limited,330
Charter Trust Agency Limited,Charter Trust Agency Limited,331
Kimberley Mashonaland Gold Mining Company,Kimberley Mashonaland Gold Mining Company,332
Matabele Queen Company,Matabele Queen Company,333
Willoughby Mashonaland Expedition Syndicate Limited,Willoughby Mashonaland Expedition Syndicate Limited,334
Chicago Gaika Development Company,Chicago Gaika Development Company,335
Eileen Aid Annah Mining Limited,Eileen Aid Annah Mining Limited,336
Surprise Goldlmining Deadpan Limited,NA,337
Matabele Sheba Gold Mining Limited,NA,338
Eileen Alannah Mining Co,Eileen Alannah Mining Co.,339
Kim Berly Mashonland Gold Mining Co,Kim Berly Mashonland Gold Mining Co.,340
Willoughby s Consolidated Ltd,"Willoughby's Consolidated, Ltd.",341
Willough Consolidated Limited,Willough Consolidated Limited,342
Eileen Alannah Mining Company,NA,343
Kimberley Mashonaland Gold Mining Limited,Kimberley Mashonaland Gold Mining Limited,344
Kimberley North Block Diamond Mining Company,NA,345
British Central Company,British Central Company,346
Guadaloupe Leasing Co,Guadaloupe Leasing Co.,347
Hampton Consolidated Limited,Hampton Consolidated Limited,348
Westvaco Chlorine Products Company,NA,349
Effuenta Wassaw Mines Limited,Effuenta Wassaw Mines Limited,350
Geo Blackwellt Sons And Limited,Geo Blackwellt Sons And Limited,351
Black Ball Coal Mining Company,Black Ball Coal Mining Company,352
Greastec Nodoodec Lgl Ibeebc,Greastec Nodoodec Lgl Ibeebc,353
Manor Powis Coal Company,Manor Powis Coal Company,354
Le Fleur Mountain Copper Co,Le Fleur Mountain Copper Co.,355
Brodsworth Main Colliery Company,Brodsworth Main Colliery Company,356
Altai Gold Concess Ons Limited,Altai Gold Concess Ons Limited,357
Kooringa Prospectingjsyndicate Limited,Kooringa Prospectingjsyndicate Limited,358
Kuranu Caledonian Limited,Kuranu Caledonian Limited,359
Corrwg Vale Colliery Limited,Corrwg Vale Colliery Limited,360
Gwinear Tin Mines Limited,Gwinear Tin Mines Limited,361
Chilean Wolfram Mines Limited,Chilean Wolfram Mines Limited,362
John Speakman And Limited,John Speakman And Limited,363
Crefir Syndicate Limited,Crefir Syndicate Limited,364
Hamstead Colliery Company,Hamstead Colliery Company,365
Tecolota Mines Syndicate Limited,Tecolota Mines Syndicate Limited,366
Willows Copper Argentiferous Syndicate,Willows Copper Argentiferous Syndicate,367
Assin Fesu Goldqqastmsyndicate Limited,Assin Fesu Goldqqastmsyndicate Limited,368
Reigate Mines Limited,Reigate Mines Limited,369
Lampa Mining Company,Lampa Mining Company,370
