org,company,og_id
Trojes United Mining And Smelting,Trojes United Mining And Smelting,24694
Macqbeqor Cloncueey Copper Mackpar Syndicate,Macqbeqor Cloncueey Copper Mackpar Syndicate,24695
Veta Colorado Mining Smelting Co,Veta Colorado Mining & Smelting Co,24696
Carmen Guanajuato Gold Mining Co,Carmen Guanajuato Gold Mining Co.,24697
Assayer Etc,NA,24698
George Lawley Corp,NA,24699
Mccarthy Freight System Inc,NA,24700
John Macdonald Construction Company,NA,24701
Liang Straits Mining Company,Liang Straits Mining Company,24702
Tete Concession Syndicate Limited,Tete Concession Syndicate Limited,24703
American Rincon Mining Co,American-Rincon Mining Co.,24704
Minerals Oil General Exploration Co,"Minerals, Oil & General Exploration Co.",24705
Demurrage Standard Oil Company,NA,24706
Inca Min Company,NA,24707
Guanajuato Cons Mining Milling Co,Guanajuato Cons. Mining & Milling Co,24708
Republic Mines Co,Republic Mines Co.,24709
Guanajuato Cons Mining M Co,Guanajuato Cons. Mining &. M. Co.,24710
Zacatecas Mining Metallurgical Co,Zacatecas Mining & Metallurgical Co.,24711
Robert Addle Knd Cqllie Ties Limited,NA,24712
Lincoln Silver Mines Corporation Big Pine Lgp,"Lincoln Silver Mines Corporation, Big Pine. Lgp",24713
Frosted Foods Sales Corp,NA,24714
Attorney American Locomotive Company,NA,24715
Tjres Consolidated Mining Company,Tjres Consolidated Mining Company,24716
Mill Waihi Gold Mining Company,NA,24717
Metallurgist Scottish Gympie Gold Mine,NA,24718
Testing Works,NA,24719
Rochester Mining Company,NA,24720
Sweeney Mining Company,NA,24721
Ramona Consolidated Mining Co,Ramona Consolidated Mining Co.,24722
Vulcan Mines Smelter Co,"Vulcan Mines 8|, Smelter Co.",24723
Transvaal Oil Shale Syndicate Limited Carolina,"Transvaal Oil Shale Syndicate, Limited, Carolina",24724
Eureka Mine,NA,24725
Dover Iron Co,Dover Iron Co.,24726
Leyden Coal Co Leyden Jefferson Co,"Leyden Coal Co., Leyden, Jefferson Co.",24727
Les Compagnie Francaise De Mines,NA,24728
Barberton Gold Mining Company,Barberton Gold Mining Company,24729
Wyoming Copper Co South Pass City Fremont Co,"Wyoming Copper Co., South Pass City, Fremont Co.",24730
Lead Properties Develqrment Syn Limited,Lead Properties Develqrment Syn Limited,24731
R G Walton,NA,24732
The Duff Development Company,NA,24733
Care Dupp Syndicate,NA,24734
Manager Cherokee Gold Fields Ltd,NA,24735
Cherokee Mexican Proprietary Limited San Julian,Cherokee Mexican Proprietary Limited. San Julian.,24736
Present Time In,NA,24737
Inland Revenue Laboratory,NA,24738
Sharpless Dye Wood Extract Co,NA,24739
Balaclava Hill Gold Mines Limited Rush Worth Fg,"Balaclava Hill Gold Mines, Limited, Rush Worth. Fg",24740
Butte Copper Mining Company,Butte Copper Mining Company,24741
General Pettit Mines Atlanta Mgp,"General Pettit Mines, Atlanta. Mgp",24742
And In The Public Works,NA,24743
Manager John Macgregor Company,NA,24744
Director National Broadcasting Company,NA,24745
Poleta Gold Mining Company,Poleta Gold Mining Company,24746
Nevada Goldfield Reduction Co,Nevada Goldfield Reduction Co,24747
Mendocino Mining Milling Co,Mendocino Mining & Milling Co.,24748
United States Mines Syndicate Hermosillo B,"United States Mines Syndicate, Hermosillo. B2.",24749
The Water Exploitation,NA,24750
Also A Water Company,NA,24751
Cerro De Pasco Mining Co,NA,24752
Kit Tin Mines Limitedhi,Kit Tin Mines Limitedhi,24753
Tombstone Cons Mines Company,NA,24754
Vivian Sons Limited Tun Is Dh,"Vivian & Sons, Limited, Tun Is. Dh",24755
With The Fort Hill Chemical Co,NA,24756
Century Tin Min Es Limited Waterberg,"Century Tin Min Es, Limited, Waterberg",24757
Hoekberg Tins Limited Waterberg,"Hoekberg Tins, Limited, Waterberg",24758
Vellefontein Tin Co,Vellefontein Tin Co.,24759
Concordia Mining Company,Concordia Mining Company,24760
Of Physics Portland,NA,24761
Furnace And Mine,NA,24762
Lluvia De Oro Gold Mining Co,Lluvia De Oro Gold Mining Co.,24763
Silurian Iron Ore Co,Silurian Iron Ore Co.,24764
Queen Creek Copper Co,Queen Creek Copper Co.,24765
Dundee Arizona Copper Co,Dundee Arizona Copper Co.,24766
Vulture Mines Co Wickenburg Maricopa Co,"Vulture Mines Co. Wickenburg, Maricopa Co.",24767
Chicago Railway Equipment Co,Chicago Railway Equipment Co.,24768
Goldfields Limited Larder City,"Goldfields, Limited, Larder City.",24769
Bismarck Mine Kaslo B,"Bismarck Mine, Kaslo. B2.",24770
Black Prince Copper Company,Black Prince Copper Company,24771
Mills Bethlehem Steel Company,NA,24772
Hydro Electric Sm Elting Co,Hydro-Electric Sm Elting Co.,24773
Hydro Electric Smelting Co,Hydro-Electric Smelting Co.,24774
Choix Consolidated Mining Company,Choix Consolidated Mining Company,24775
Department Of The Interior,NA,24776
V Whiting Corp,NA,24777
Cincinnati Mining Co,Cincinnati Mining Co.,24778
Sydney Sm Company,NA,24779
Caledonian Mining Milling Co,Caledonian Mining & Milling Co.,24780
Mining Arsm,NA,24781
Black Range Gold Mining Company,NA,24782
Surveyor Abosso Gold Mining Company,NA,24783
Ypres Died Of,NA,24784
Acacia Gold Mining Co,Acacia Gold Mining Co.,24785
Orford Copper Co,Orford Copper Co.,24786
Brazeau Collieries Limited Nordegg Dhd,"Brazeau Collieries, Limited, Nordegg. Dhd",24787
Restauradora Purisima Mining Co,Restauradora & Purisima Mining Co,24788
Llanos De Oro Mining Company,Llanos De Oro Mining Company,24789
Lead S Dak Homestake Mining Co,NA,24790
Lah Mines Limited,Lah Mines Limited,24791
Hillcrest Collieries Limited Hillcrest Ehd,"Hillcrest Collieries,Limited,Hillcrest. Ehd",24792
Electric Cutters Horse Haulage Shaking Screens Men Hillcrest Collieries Limited,Electric Cutters. Horse Haulage. Shaking Screens. Men. Hillcrest Collieries Limited,24793
Duquesne Mining Co,Duquesne Mining Co.,24794
Orsk Goldfields Limited Kolchan Ochotsk Eh,"Orsk Goldfields, Limited, Kolchan, Ochotsk. Eh",24795
Consolidated Gas Co,NA,24796
Columbia University Law School Secretary Hamilton Law Club,NA,24797
Oro Nolan Mining Co,Oro Nolan Mining Co.,24798
En Bf Goodrich Company,NA,24799
Manor Powis Col Limited,NA,24800
Glasgow Company,Glasgow Company,24801
Mr Joseph Maclennan,NA,24802
Queensland School Of Mines,NA,24803
Atlas Plywood Corp,NA,24804
Dorleska Mine Dorleska Trinity Co,"Dorleska Mine. Dorleska, Trinity Co.",24805
Union Consolidated Gold Mines Company,Union Consolidated Gold Mines Company,24806
Castellana Consolidated Mines Limited,Castellana Consolidated Mines Limited,24807
Calumet And Ontarian Mining,NA,24808
Old Colony Copper Co Calumet Houghton Co,"Old Colony Copper Co., Calumet, Houghton Co.",24809
Tecumseh Copper Co Calumet Houghton Co,"Tecumseh Copper Co., Calumet, Houghton Co.",24810
Macintyre I Company,NA,24811
U S Reduction Ref Company,NA,24812
Compania Huanchaca De Bolivia,NA,24813
Design Arma Corp,NA,24814
Mt Washington Mine,NA,24815
Sery Joannes Brothers Company,NA,24816
Cariboo Ch Isholm Creek Mining Co,Cariboo-Ch Isholm Creek Mining Co.,24817
Metallurgy University,NA,24818
Nobel,NA,24819
Prime Western Spelter Company,Prime Western Spelter Company,24820
Moctezuma Copper Company,NA,24821
Santa Fe Mining Company,Santa Fe Mining Company,24822
Santa Fe Mining Milling Co,Santa Fe Mining & Milling Co,24823
Santa Fe Mining Co,Santa Fe Mining Co.,24824
Lodi Mines Company,Lodi Mines Company,24825
Nome Exploration And Gold Mining,Nome Exploration And Gold Mining,24826
Mexican Ore Co,NA,24827
Nevada Douglas Copper Co Yerington Lyon Co,"Nevada-Douglas Copper Co., Yerington, Lyon Co.",24828
Victory Silver Mines Ltd,"Victory Silver Mines, Ltd.",24829
Madden Scratch Gravel Mines Co,Madden Scratch Gravel Mines Co.,24830
Works Bethlehem Steel Company,NA,24831
Little Nipissing Silver Cobalt Mining Co Ltd,Little Nipissing Silver Cobalt Mining Co. Ltd,24832
Coffee Creek Mining Milling Co,Coffee Creek Mining &. Milling Co.,24833
Southern Belle Mine Oracle Fgp,"Southern Belle Mine, Oracle. Fgp",24834
Alianza Exploration Co,Alianza Exploration Co.,24835
Liquid Fuel Company,NA,24836
Attached Director Of Works,NA,24837
Eleventh Hour Gold Mining Company,Eleventh Hour Gold Mining Company,24838
Wauconda Gold Mining Company,Wauconda Gold Mining Company,24839
Tintic Delmar Mining Co Eureka Juab Co,"Tintic Delmar Mining Co., Eureka, Juab Co.",24840
Tintic Delmar Mining Co,Tintic Delmar Mining Co.,24841
Frontenac Copper Company,Frontenac Copper Company,24842
Gratiot Mining Company,Gratiot Mining Company,24843
Manitou Mining Company,Manitou Mining Company,24844
Henry S Wolkins Company,NA,24845
Matmant Golb Syndicate Lte,Matmant Golb Syndicate Lte,24846
Orford Copper Company,Orford Copper Company,24847
P Ind Scientific Company,NA,24848
Keeley Mine Limited South Lorrain B,"Keeley Mine, Limited, South Lorrain. B2.",24849
Catherine Lead Company,NA,24850
Tin Mines Siam Limited,Tin Mines Siam Limited,24851
Glynn s Pretoria Gold Mining Co,Glynn's Pretoria Gold Mining Co.,24852
P Northwestern Foundry Company,NA,24853
Mariposa Commercial A Mining Co,Mariposa Commercial A Mining Co,24854
Bureau Of Yards And Docks Navy Department,NA,24855
Dolores Mining Co,Dolores Mining Co.,24856
Magwood Copper Co,Magwood Copper Co.,24857
Drummer Boy Mining Company,Drummer Boy Mining Company,24858
Patent Attorney Carborundum Company,NA,24859
Integral Quicksilver Mining Company,Integral Quicksilver Mining Company,24860
Stephens Point Lead Zinc Company,Stephens Point Lead & Zinc Company,24861
Susquehanna Mining Company,Susquehanna Mining Company,24862
Cities Servjee Refining Company,NA,24863
Iron And Land Co,NA,24864
Berkeley,NA,24865
The Caledonian Coal Company,NA,24866
The Silver Mining Company,NA,24867
Government Inspector Mine,NA,24868
The Acadia Coal,NA,24869
Mexico Mines Of El Oro Limited El Oro A,"Mexico Mines Of El Oro, Limited, El Oro. A.",24870
La Blanca Anexas Mining Co,La Blanca &. Anexas Mining Co.,24871
Durban Roodepoort Deep Ltd,NA,24872
Bullion Consolidated Gold Mining Company,Bullion Consolidated Gold Mining Company,24873
Bullion Cons Gold Mining Co,Bullion Cons. Gold Mining Co,24874
Ancho Mine Graniteville Lgp,"Ancho Mine, Graniteville. Lgp",24875
Chillagoe Ry Mines,NA,24876
Aberdaunant Lead Company,Aberdaunant Lead Company,24877
Maitland Mine Negaunee Michigan Mgp,"Maitland Mine, Negaunee, Michigan. Mgp",24878
North Homestake Mining Co,North Homestake Mining Co,24879
Maitland Mine Negaunee Mgp,"Maitland Mine, Negaunee. Mgp",24880
Cerralvo Bustamante Mining Sm Elting Co,Cerralvo & Bustamante Mining & Sm Elting Co.,24881
Cerralvo A Bustamante M It Co,Cerralvo A Bustamante M. It 8. Co.,24882
Gerralvo D Bustamante M S Co,Gerralvo D. Bustamante M. 6. S. Co.,24883
Sindicato Minero Fundidor Cerralvo Bustamante S A,NA,24884
Minnesota Mines Co Maitland Lawrence Co,"Minnesota Mines Co., Maitland, Lawrence Co.",24885
Telescope Mining G Milling Co,Telescope Mining G Milling Co.,24886
Colowyo Gold Mining Co,Colowyo Gold Mining Co.,24887
Paramount Famous Lasky Corp,NA,24888
Mololoa Mining Co,Mololoa Mining Co.,24889
Lonsdale Company,NA,24890
Westinghouse Electric And Manufacturing Co,NA,24891
Radcliffe Colliery Company,Radcliffe Colliery Company,24892
Grimshaw Quarries Limited,Grimshaw Quarries Limited,24893
St Proprietary Limited,St Proprietary Limited,24894
Alagon Alluyjalys Limited,Alagon Alluyjalys Limited,24895
H W Johns Manville Co,H. W. Johns-Manville Co.,24896
H w Johns Manville Co,H.w. Johns-Manville Co.,24897
San Rafael El Grande Mining Company,San Rafael El Grande Mining Company,24898
United States Steel Corp,NA,24899
Belcher Mine Black Hawk Gilpin Co,"Belcher Mine, Black Hawk, Gilpin Co.",24900
Washougal G C Mining Co,Washougal G. & C. Mining Co,24901
Metates Mine San Marcos,"Metates Mine, San Marcos.",24902
Compania Minera Las Dos Estrellas,NA,24903
Philadelphia Mining Company,Philadelphia Mining Company,24904
Chemist Star Brewing Company,NA,24905
Brunswick Consolidated Gold Mining Company,Brunswick Consolidated Gold Mining Company,24906
Brunswick Cons Gold Mining Co,Brunswick Cons. Gold Mining Co.,24907
Nottingham Mining Property Barberton,Nottingham Mining Property Barberton,24908
Solomon Gold Dredging Co,Solomon Gold Dredging Co.,24909
P V Coal Mining Co,P. V. Coal Mining Co.,24910
Summerlee And Mosbend Iron And,Summerlee And Mosbend Iron And,24911
Interstate Commerce Comm,NA,24912
Sonora Silver Mines Limited,Sonora Silver Mines Limited,24913
Electro Chemical Company,NA,24914
Gold Cord Mining Company,Gold Cord Mining Company,24915
Malmsberg Mine Auburn Placer Co,"Malmsberg Mine, Auburn, Placer Co.",24916
Ancho Mine Graniteville Nevada Co,"Ancho Mine, Graniteville, Nevada Co.",24917
Lordsburg,NA,24918
Bonney Mining Co,Bonney Mining Co.,24919
The Empire Zinc Company,NA,24920
Eureka Copper Mines Limited Nelson Mgp,"Eureka Copper Mines, Limited, Nelson. Mgp",24921
San Pablo Mines Company,San Pablo Mines Company,24922
La Dura Consolidated Mines Co,La Dura Consolidated Mines Co.,24923
Silver Cycle Mining Co,Silver Cycle Mining Co.,24924
Mining Milling Co Hornitos Mariposa Co,"Mining & Milling Co., Hornitos, Mariposa Co.",24925
Chemist Du Pont Company,NA,24926
Barnard College,NA,24927
Ati Krukru Fisau Gold Mines,Ati Krukru Fisau Gold Mines,24928
Ethel Gold Mining Co Gaston Nevada Co,"Ethel Gold Mining Co., Gaston, Nevada Co.",24929
Three Stars Mining Co East Auburn Placer Co,"Three Stars Mining Co., East Auburn, Placer Co.",24930
Hardy Mining Co,Hardy Mining Co.,24931
Angels Mohawk Mines Co,Angels Mohawk Mines Co.,24932
Slough Creek Limited Stanley,Slough Creek Limited. Stanley.,24933
Badajoz Mining Co,Badajoz Mining Co.,24934
Doris Gold Silver Mining Co,Doris Gold & Silver Mining Co,24935
Pittsburgh Gold Flat Mines Co,Pittsburgh Gold Flat Mines Co,24936
Midas Mining Leasing Co Leadville Lake Co,"Midas Mining & Leasing Co., Leadville, Lake Co.",24937
Melones Mining Co Melones Calaveras Co,"Melones Mining Co., Melones, Calaveras Co.",24938
Stratton S Independence Limited,Stratton S Independence Limited,24939
Northwest Smelting Refining Co,Northwest Smelting & Refining Co,24940
Lamartine Mines Idaho Springs Clear Creek Co,"Lamartine Mines, Idaho Springs, Clear Creek Co.",24941
Chief Offices Mary Street Cardiff,Chief Offices Mary Street Cardiff,24942
British Empire Colmapnandy Lmimoitretdg Age,British Empire Colmapnandy Lmimoitretdg Age,24943
Koniah Mercury Syndicate Limited,Koniah Mercury Syndicate Limited,24944
Office Broadway New York American Smelters Securities Co,Office. Broadway New York. American Smelters Securities Co,24945
Cortez Mining Reduction Co,Cortez Mining & Reduction Co.,24946
Delaware Lackawanna Western R r Co,"Delaware, Lackawanna 0. Western R.r. Co.",24947
Rapid Transit Corp,NA,24948
Constructor Lieutenant Constr Corp,NA,24949
Grube,NA,24950
United States Nickel Co,United States Nickel Co.,24951
Carlinville Ill With Rw Hunt Co,NA,24952
Central Mother Lode Mining Co,Central Mother Lode Mining Co,24953
Jamestown Exploration Co,Jamestown Exploration Co.,24954
Manger Copper Co,Manger Copper Co.,24955
Kookorboo Mines Limited,Kookorboo Mines Limited,24956
Chemist United Fruit Company,NA,24957
Calliope Mining Co Ouray Ouray Co,"Calliope Mining Co., Ouray, Ouray Co.",24958
Aetna Fireproofing Company,NA,24959
Superior Coal Company,Superior Coal Company,24960
Nest Pass C Company,NA,24961
Enterprise Mining Company,Enterprise Mining Company,24962
Department The Texas Corp,NA,24963
Stanford Mining Reduction Company,Stanford Mining & Reduction Company,24964
In Charge Of The Department Washington Uni Versity,NA,24965
North Atlantic Collieries Limited Port Morien B,"North Atlantic Collieries, Limited, Port Morien. B2.",24966
Rosa Amarilla Copper Company,Rosa Amarilla Copper Company,24967
Mary Lee Mining Co Idaho City Boise Co,"Mary Lee Mining Co., Idaho City, Boise Co.",24968
Treasurer Cumberland Chemical Company,NA,24969
Salesman Professional Equipment Company,NA,24970
Mollett Development Co,Mollett Development Co.,24971
Thayer M M Company,NA,24972
Pontiac Motor Car Company,NA,24973
Howells Explor Company,NA,24974
United Smelting And Refining Co,NA,24975
Dr J H Wells Seoul Mining Co,NA,24976
Goldfield Oro Mining Co,Goldfield Oro Mining Co.,24977
Hastings Law College,NA,24978
Jefferson Development Company,Jefferson Development Company,24979
New Heduld Deep Limited,New Heduld Deep Limited,24980
Educational Bureau,NA,24981
Union Realty And Development Co,NA,24982
Preston Gold Mining Milling Company,Preston Gold Mining & Milling Company,24983
Treasurer International Ticket Company,NA,24984
Engineering Equipment Inc,NA,24985
Consolidated Cortez Silver Mines Co,Consolidated Cortez Silver Mines Co.,24986
Rival Foods Inc,NA,24987
Vogrie Coal Company,Vogrie Coal Company,24988
Designer Drever Company,NA,24989
Black Bear Mining Co Telluride San Miguel Co,"Black Bear Mining Co., Telluride, San Miguel Co.",24990
West Silkstone Colliery Company,West Silkstone Colliery Company,24991
Checker Lincoln Stores Inc,NA,24992
Rabble Chain Colliery Company,Rabble Chain Colliery Company,24993
Hw Johns Manvllle Co,Hw. Johns-Manvllle Co.,24994
Kendall Mont Mining Barnes King Development Co,NA,24995
Leonard Mine A C M Company,NA,24996
Collado De La Plata Mining Co,Collado De La Plata Mining Co.,24997
Guanajuato Reduction And Mining Co,NA,24998
Mendora Mine Bocfish Kern Co,"Mendora Mine, Bocfish, Kern Co.",24999
Industrial Fuel Ice Co,Industrial Fuel & Ice Co,25000
Fanti Velopm Ent Limited,Fanti Velopm Ent Limited,25001
Gold Dust Corp,NA,25002
Alaska Prince Mining Company,Alaska Prince Mining Company,25003
Alaska Venture Syndicate Limited,Alaska Venture Syndicate Limited,25004
Broad Lane Colliery Limited,Broad Lane Colliery Limited,25005
Saxon Tin And Wolfram Mining Company,Saxon Tin And Wolfram Mining Company,25006
Wolfram Properties Limited,Wolfram Properties Limited,25007
Markhav Main Collier Limited,NA,25008
Luwayo Syndicate Limited,NA,25009
Nlnghl Nigeria Tin Limited Celt,NA,25010
Ndrthern Minerals Transvaal Limited,NA,25011
Cornish Mine Assgciation Limited Cornish,Cornish Mine Assgciation Limited Cornish,25012
Rosehaugh African Syndicate Limited,Rosehaugh African Syndicate Limited,25013
Bwlqhgwyn Silica Limited,Bwlqhgwyn Silica Limited,25014
Denby Grange Collieries Limited,Denby Grange Collieries Limited,25015
Ambitus Exploration Limited,Ambitus Exploration Limited,25016
Dudley Hill Collieries Limited,Dudley Hill Collieries Limited,25017
French Huelva Pyrites Co,French Huelva Pyrites Co.,25018
Franco Belgian Metallurgical Co,Franco-Belgian Metallurgical Co.,25019
Union Fuel Co Coalville Summit Co,"Union Fuel Co., Coalville, Summit Co.",25020
Wyoming Coal Co Rock Springs Sweetwater Co,"Wyoming Coal Co., Rock Springs, Sweetwater Co.",25021
Ocampo Mining Co,Ocampo Mining Co.,25022
Obenemasi Syndicate Limited,Obenemasi Syndicate Limited,25023
Panther Panco Rubber Company,NA,25024
With G K Hooper Consulting Engineer,NA,25025
American Sugar Refining Company,NA,25026
American Laundry Machine Company,NA,25027
Type Founders Sales Corp,NA,25028
Oriental Ispahan Rug Company,NA,25029
With W F Mosser Co Tanners,NA,25030
Salome Vicksburg Gold Mining Co,Salome Vicksburg Gold Mining Co,25031
Unida Gold Mining Co,Unida Gold Mining Co,25032
Bukowina,NA,25033
Marshall Russell Gold Mining M T Co,Marshall & Russell Gold Mining M. & T. Co,25034
Marshall Russell Gold M M Tunnel Co,Marshall Russell Gold M. M. & Tunnel Co,25035
Society Des Mines De Borralha,Society: Des Mines De Borralha.,25036
Compagnie Des Mines D Etain,NA,25037
Aguilas Smelting Company,Aguilas Smelting Company,25038
Designer American Thread Company,NA,25039
Silver Star Mining Company,Silver Star Mining Company,25040
Steel A Tube Company,Steel A. Tube Company,25041
Plas Trevor,NA,25042
Channel Llie Trust Limited,Channel Llie Trust Limited,25043
Wyken Colliery Company,Wyken Colliery Company,25044
Park Gate Iron And Steele Limited,NA,25045
G B Markle Company,NA,25046
Sure Pop Mine No Gilbert Fgp,"Sure Pop Mine No. 2, Gilbert. Fgp",25047
Fern Quicksilver Mining Co,Fern Quicksilver Mining Co.,25048
Fort Worth Placer Mining Co,Fort Worth Placer Mining Co,25049
Texas Jarilla Placer Mining Co,Texas Jarilla Placer Mining Co,25050
Wallarah Coal Co,Wallarah Coal Co.,25051
Partner Crest Oil Company,NA,25052
Rogers Springs Mining Co,Rogers Springs Mining Co,25053
De Leon Mining Co,De Leon Mining Co.,25054
Ballengeich Collieriest Limited,Ballengeich Collieriest Limited,25055
Golden Ridge Gold Mining Co,Golden Ridge Gold Mining Co.,25056
Nordyke Marmon Co,NA,25057
Andalucia Blast Furnace Co,Andalucia Blast Furnace Co.,25058
Gold Centre Mines Limited Timmins Mgp,"Gold Centre Mines, Limited,Timmins. Mgp",25059
Electric Steel Co,Electric Steel Co.,25060
East Murchison United G M,NA,25061
Pahang Consolidlated Company,NA,25062
Mokinley Dabbagh Savage Mines,Mokinley Dabbagh Savage Mines,25063
Amalgamated Nevada Mines Power Co,Amalgamated Nevada Mines & Power Co,25064
Cordonera Mining Company,Cordonera Mining Company,25065
Metals Milling Company,Metals Milling Company,25066
Yerington Copper Co Yerington Lyon Co,"Yerington Copper Co., Yerington, Lyon Co.",25067
Black Panther Mining Co,Black Panther Mining Co.,25068
Adrian College,NA,25069
Indiana Bridge Co,NA,25070
Princes End Colliery Company,Princes End Colliery Company,25071
Cariboo Gold Platinum Extracting Co,Cariboo Gold-Platinum Extracting Co.,25072
Hurst Lane Colliery Company,Hurst Lane Colliery Company,25073
Wondalli Decciln Goldi Mines Limited,Wondalli Decciln Goldi Mines Limited,25074
Juanita Furnace A Foundry Co,Juanita Furnace A. Foundry Co.,25075
Societe Des Mines De Cuivre De Campanario,Société Des Mines De Cuivre De Campanario.,25076
Gemini Godiva Cons Mining Co Eureka Juab Co,"Gemini-Godiva Cons. Mining Co., Eureka, Juab Co.",25077
Export Leaf Tobacco Company,NA,25078
Magnolia Petroleum Company,NA,25079
Pittsburgh Lead Mining Company,Pittsburgh Lead Mining Company,25080
Care M B Laughlin,NA,25081
Stockton Fire Brick Company,NA,25082
Alfred Mines Limited,Alfred Mines Limited,25083
Proceedings Institution,NA,25084
Years With,NA,25085
And Iron Works,NA,25086
Hampstead War Hospital,NA,25087
Cougar Mining Milling Co,Cougar Mining &. Milling Co.,25088
Costa Rica Union Mining Co,Costa Rica Union Mining Co.,25089
Paarl Central Gold Mining Andy Exploration,NA,25090
Chemistry St Paul,NA,25091
Wayne Steel Co,Wayne Steel Co.,25092
Clydesdaled Transvaal Collieries Limited,NA,25093
Owner Marshall Oil Company,NA,25094
Eureka Main Reef Developing Company,Eureka Main Reef Developing Company,25095
Carrier Corp,NA,25096
Inspiration Ariz Mining Inspiration Consolidated Copper Co,NA,25097
Johns Hopkins University Medical School,NA,25098
United States Mining Co,United States Mining Co.,25099
Seattle Contact Copper Co,Seattle-Contact Copper Co.,25100
Anderson Lake Mining Milling Company,Anderson Lake Mining & Milling Company,25101
Western Tunnel Mining Co,Western Tunnel Mining Co.,25102
Yakima Roslyn Coal Co Roslyn Kittatas Co,"Yakima-Roslyn Coal Co., Roslyn, Kittatas Co.",25103
Taxco Mines Of Mexico Limited Taxco B,"Taxco Mines Of Mexico, Limited, Taxco. B2.",25104
Tasmanian Syndicate Limited,Tasmanian Syndicate Limited,25105
Boeder Adamson Co Gbu Manufacturers,NA,25106
Redcliff Rolling Mills And Bolt Co Ltd,Redcliff Rolling Mills And Bolt Co.. Ltd,25107
Rapid City Pressed Brick Co,NA,25108
American Exploration Mining Co,American Exploration & Mining Co,25109
Leeuwkloof Lead Mine Reitfontein West,"Leeuwkloof Lead Mine, Reitfontein West",25110
Wasp Gold Mine Rietfontein West,"Wasp Gold Mine, Rietfontein West",25111
Hope Mining Co Republic Ferry Co,"Hope Mining Co., Republic, Ferry Co.",25112
P Producto Machine Company,NA,25113
Day Dawn Freeholds Extended Gold,Day Dawn Freeholds Extended Gold,25114
P Shell Oil Company,NA,25115
Bodiosa A Nova Mine Bodiosa Viseu Beira Alta Fg,"Bodiosa-A-Nova Mine, Bodiosa, Viseu, Beira Alta. Fg",25116
Montenegro Mining Co,Montenegro Mining Co.,25117
Silver Leaf Mining M Co,Silver Leaf Mining & M. Co,25118
Enterprise Foundry Co,Enterprise Foundry Co.,25119
Morning Glory Gold Mines Co,Morning Glory Gold Mines Co.,25120
Nevada City Gold Mining Company,Nevada City Gold Mining Company,25121
May Day Mining Co,May Day Mining Co.,25122
Hollister Mining Co,Hollister Mining Co.,25123
Olla Oro Bolivia Gold Mine Limited,Olla Oro Bolivia Gold Mine Limited,25124
Murray Isabel Mines Co Parkdale Fremont Co,"Murray Isabel Mines Co., Parkdale, Fremont Co.",25125
Great Victoria Proprietary Mine Burbidge Fg,"Great Victoria Proprietary Mine, Burbidge. Fg",25126
Ivanhoe Gold Corporation,NA,25127
Surveyor Gwalia Consols Gold Mine,NA,25128
Manager Kyawa Gold Mine,NA,25129
Standard Mine,NA,25130
Chrysler Sales Corp,NA,25131
Consolidated Elee Lamp Company,NA,25132
Blaenavon Iron Works,NA,25133
Penn Steel Company,NA,25134
Metallurgist Inland Steel Company,NA,25135
Secretary Process Management Company,NA,25136
Republic Steel Corp,NA,25137
Ramshorn Blue Bucket Mining Leasing Co,Ramshorn Blue Bucket Mining & Leasing Co,25138
Hanna Mining Milling Company,Hanna Mining & Milling Company,25139
Ozark Smelting Mining Co,Ozark Smelting & Mining Co.,25140
Ga Marsh Company,NA,25141
Sycamore Mining Smelting Dev Co,Sycamore Mining Smelting & Dev. Co,25142
Standard Consolidated Mining Co,Standard Consolidated Mining Co,25143
Susannah Mine Golden Lgp,"Susannah Mine, Golden. Lgp",25144
Madison Lead Land Co,Madison Lead & Land Co,25145
Pittsburgh Aviation Industries Corp,NA,25146
Mqdderfobjidteitn East Limited Hardtop,NA,25147
Modderfontein East Limited,Modderfontein East Limited,25148
Asst Care Kennecott Copper Co,NA,25149
Phoenix Foundry,NA,25150
Rocky Mountain Coal Iron Co Almy Uinta Co,"Rocky Mountain Coal & Iron Co., Almy, Uinta Co.",25151
Mount Elliot Cons Mines Co,Mount Elliot Cons. Mines Co,25152
Bonanza Golden Eagle Mining Co,Bonanza & Golden Eagle Mining Co,25153
American Mining Dev Co,American Mining & Dev. Co,25154
Fort Goff Hydraulic Co,Fort Goff Hydraulic Co.,25155
American Mining Development Co,American Mining &. Development Co,25156
Scofield Coal Co Scofield Carbon Co,"Scofield Coal Co., Scofield, Carbon Co.",25157
Bear River Coal Co Evanston Uinta Co,"Bear River Coal Co., Evanston, Uinta Co.",25158
Tom Moore Consolidated Mining Company,Tom Moore Consolidated Mining Company,25159
Hillgrove Antimony Mining Smelting Co Limited,Hillgrove Antimony Mining & Smelting Co. Limited,25160
Th Ave,NA,25161
Carney Copper Co,Carney Copper Co.,25162
Alpha Consolidated Mine Coarse Gold,Alpha Consolidated Mine. Coarse Gold.,25163
Ivanhoe Mines Co Mcallister Madison Co,"Ivanhoe Mines Co., Mcallister, Madison Co.",25164
Abrasive Machine Tool Company,NA,25165
Huautla Santa Ana Mining Co,Huautla Santa Ana Mining Co.,25166
Ny Honduras Rosario M Company,NA,25167
King Bee Gold Mining Milling Co,King Bee Gold Mining & Milling Co,25168
